lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO_average,WT_average,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
PC (40:9),-0.127842075,6.846017449,3.549519784,0.059562686,0.177033538,828.6 -> 184.1,PC,1153.162583,1206.155084,1295.840103,1081.860077,1227.000092,1137.520088,1072.780067,1114.600071,1062.340076,1233.360088,1190.800079,1064.940075,1361.100079,1228.240093,1182.420086,1203.920086,1211.580097,1206.240078,1595.480129
PC (36:0); PCp(38:6),0.122025883,7.352007714,3.32263877,0.06833207,0.197608959,790.6 -> 184.1,PC,1747.782629,1537.090106,1411.240097,1506.580112,2137.280148,1631.08012,1702.040123,1775.94014,2068.020149,1750.080147,1562.100113,1308.580082,1541.540104,1815.840111,1557.300121,1864.600121,1250.200085,1396.560108,2908.000191
SM (d18:1/26:0),-0.124241852,6.726200797,3.326417008,0.068175242,0.197608959,843.7 -> 184.1,PC,1067.352574,1113.202576,1030.180073,1087.760078,1010.700069,1070.500069,1059.100079,1094.400078,1125.720078,1060.460072,1345.44009,1109.420078,1106.120075,1044.760067,1116.340076,1060.600079,1090.380074,1032.56007,1387.600094
C34:0,-0.115346456,11.50598968,3.182483991,0.074431499,0.210055799,507.5 -> 507.5,FFA,30770.7247,31915.50973,31309.94229,31495.96226,29745.84195,31292.72238,31229.1423,32590.46236,28443.00203,30058.72201,31466.04224,32417.22229,31884.44214,35716.38246,35374.22245,29457.32206,30249.6222,28758.82202,15378.28117
Lyso_PC(22:1),-0.120689718,6.895406514,3.178805288,0.074599256,0.210055799,578.4107 -> 184.1,PC,1217.165086,1266.680088,1300.260086,1200.060081,1160.62009,1346.10009,1175.680092,1135.82008,1226.820091,1191.960075,1299.100094,1132.800087,1218.440079,1370.880093,1198.040089,1301.500099,1389.10009,1223.580074,1289.440098
PC (30:1),0.114671428,9.629029328,3.107495853,0.077932695,0.216592167,704.5 -> 184.1,PC,8201.725595,7238.890514,6580.64048,6804.020447,7546.000557,8395.040562,7134.860508,9226.420719,10787.88076,9138.940727,7898.9006,7578.200615,7235.680557,6955.960419,7158.020512,7050.920467,7332.320488,6701.120453,18346.84108
Lyso_PC(18:0),0.116695326,7.658930496,3.082768511,0.079125732,0.217088548,524.3638 -> 184.1,PC,2184.445148,1929.362642,2212.880177,2113.66016,2140.140114,2583.460163,2222.760155,2162.000137,1983.980141,2056.680141,1827.400143,2135.480164,1788.180141,2154.98016,1973.500118,1988.800159,1893.900143,1672.660107,3154.540203
SM (d16:1/24:1),0.113604765,8.209116207,2.974004099,0.084612188,0.229202636,785.6 -> 184.1,PC,3150.382729,2784.53519,2709.840176,3060.460239,2752.840195,3634.140259,3229.360245,3527.180264,2851.840191,3437.400261,2731.020176,2861.880211,2691.820194,2633.500164,3328.000256,2074.84013,2940.700191,3014.520199,5384.400352
PC (36:2),0.103779366,9.679797805,2.545262077,0.110625553,0.295923355,786.6 -> 184.1,PC,8158.318068,7254.685543,7081.820599,6666.380421,7502.080528,8220.460548,7004.380474,9990.3806,9673.520737,9127.520634,6658.640575,7246.860535,7511.86047,7733.52063,7114.240547,7420.520508,7061.360577,7290.480499,23948.56193
SM (d18:0/24:0),0.105482323,7.105262315,2.451570003,0.117407385,0.310187411,817.7 -> 184.1,PC,1472.032604,1308.372592,1470.000111,1393.920101,1397.960098,1452.720112,1717.760113,1329.12009,1490.600105,1524.180099,1247.740082,1482.660088,1175.260082,1263.740097,1148.740097,1240.640106,1361.960079,1546.240105,2306.980167
C22:6,-0.099085762,12.40202319,2.352910306,0.125049356,0.322416412,327.3 -> 327.3,FFA,57440.69892,58953.59171,65569.7246,61232.18396,60798.86391,56005.58388,53083.92375,56013.94395,53378.44371,53442.9236,60329.84428,58243.02399,65823.46505,65170.18446,61776.30436,58436.92429,51202.68381,50646.30345,31051.16212
PC (40:4),0.103046392,7.201640353,2.35664158,0.124750502,0.322416412,838.6 -> 184.1,PC,1611.512608,1434.507602,1460.820114,1484.3801,1505.480095,1758.900124,1357.300095,1629.520092,1933.260128,1762.440113,1304.680103,1488.920105,1333.820087,1341.220093,1652.300114,1314.380093,1538.020107,1502.720112,1865.820141
Lyso_PC(19:2),-0.103020978,6.875200494,2.314693642,0.128156548,0.326494063,534.3481 -> 184.1,PC,1215.362586,1248.915085,1384.400097,1141.620075,1200.340088,1200.800095,1169.340076,1107.560081,1294.860092,1223.98008,1277.220081,1109.400082,1306.76009,1252.780083,1135.200077,1208.540081,1425.480103,1275.940083,1145.68008
C26:0,-0.096624703,12.7274726,2.23850191,0.134611342,0.334643245,395.3 -> 395.3,FFA,72684.40521,74454.83785,73959.78535,75680.58518,73246.30556,74958.70526,71285.30534,75458.64542,69112.12494,67773.78465,74204.46508,73362.88541,82743.86623,82642.52532,80825.66621,73105.46542,64634.84444,64118.9847,28102.94202
C26:1,-0.096568012,12.40414183,2.234938158,0.134922022,0.334643245,393.3 -> 393.3,FFA,58243.879,59647.38923,58027.78417,62162.58437,56110.00389,57710.38378,59486.38393,54078.10371,59484.94402,58890.84411,56095.96393,59633.34412,63778.32474,65425.9247,64211.2244,55798.86423,56387.86389,55847.6038,19580.18132
PC (42:0),-0.101374182,6.760644791,2.222115247,0.136046553,0.334643245,874.7 -> 184.1,PC,1111.642584,1140.980077,1106.700085,1069.340076,1141.020092,1095.860081,1139.420094,1123.32008,1104.360081,1113.120083,1167.760086,1130.500076,1123.900074,1134.140076,1112.440075,1142.700073,1145.56007,1170.840084,1257.840092
Lyso_PC(9:0),-0.095221051,6.991937606,1.990864511,0.158250516,0.384836483,398.2229 -> 184.1,PC,1314.552594,1343.690096,1229.180084,1331.720104,1325.340088,1266.220093,1321.94009,1338.080097,1358.580097,1345.3601,1504.700104,1072.100075,1465.720112,1499.300102,1312.260078,1242.680096,1225.480087,1427.280113,1367.900112
PCo(38:4),0.092025057,7.220625031,1.882626983,0.170035874,0.404307523,796.6 -> 184.1,PC,1640.625116,1471.127599,1179.58009,1491.160099,1694.400124,1691.320129,1668.760105,1702.400131,2079.30014,1618.080112,1543.380096,1386.300106,1417.640095,1471.320095,1477.540112,1379.540073,1455.960094,1637.340118,1672.920105
SM (d18:2/20:1),-0.093140354,6.903344419,1.894943707,0.168645373,0.404307523,755.6 -> 184.1,PC,1240.282589,1265.595089,1255.440098,1213.920078,1201.040081,1214.340088,1205.160091,1263.320084,1309.620094,1259.420097,1287.60009,1320.200081,1333.880096,1118.720085,1198.240093,1245.440098,1359.640091,1261.040081,1233.080086
Lyso_PC(13:0),-0.090501859,6.943771042,1.79331961,0.180522224,0.411318263,454.2855 -> 184.1,PC,1273.97509,1298.48509,1362.220089,1211.120079,1309.940105,1286.700104,1161.780079,1341.880089,1179.260082,1338.900093,1326.140087,1238.180092,1542.260094,1342.940098,1147.240086,1326.780102,1264.800076,1199.540085,1315.520103
Lyso_PC(4:0),-0.091108623,6.97909668,1.820453255,0.177259334,0.411318263,328.1447 -> 184.1,PC,1298.290092,1323.237591,1279.760086,1337.360088,1352.560097,1305.960091,1145.140083,1405.500095,1396.96011,1163.080082,1284.960087,1184.16008,1373.160114,1498.860088,1377.10009,1266.540096,1273.0201,1328.100075,1472.64011
PC (44:8),-0.091893583,6.727630802,1.822572089,0.177007419,0.411318263,886.6 -> 184.1,PC,1094.822577,1116.280075,1067.420074,1057.960079,1114.32008,1109.020065,1069.140076,1098.460075,1099.380089,1142.880081,1077.260082,1093.40007,1108.420071,1205.620083,1099.520069,1072.88007,1072.700066,1200.440086,1149.620083
PC (48:0),-0.090749265,6.715567328,1.776379307,0.182594556,0.411318263,958.8 -> 184.1,PC,1088.58008,1109.205078,1088.720078,1073.68008,1065.980083,1081.760071,1121.400082,1065.440071,1158.260094,1053.400078,1136.880081,1079.600082,1106.340076,1092.180065,1086.480072,1057.280071,1236.340096,1078.540077,1096.720081
SM (d18:0/12:0),-0.090845804,6.741872199,1.78224177,0.181874291,0.411318263,649.5 -> 184.1,PC,1100.925076,1122.360078,1046.780071,1182.08007,1166.580078,1022.320068,1179.740082,1080.420071,1076.700081,1052.780083,1079.160069,1129.160069,1122.120083,1081.160076,1243.180088,1122.58009,1036.020069,1165.500084,1243.220074
C22:5,-0.083548788,12.19162219,1.672411858,0.195935797,0.419302606,329.3 -> 329.3,FFA,49988.96361,50727.8961,49703.04353,52773.68385,51075.28362,50495.00373,50079.96375,47453.36329,49959.52356,48371.84352,50775.92355,49178.48349,53650.44387,54141.34418,54778.7038,48163.32349,46853.22314,48281.7233,25730.0219
Lyso_PC(11:0),-0.087937228,6.95592878,1.694052291,0.193067648,0.419302606,426.2542 -> 184.1,PC,1283.160093,1305.145091,1284.3601,1309.260101,1083.580074,1205.020084,1460.380112,1278.320091,1359.640099,1284.720085,1398.060093,1419.840107,1299.980087,1396.60009,1229.60009,1164.600079,1301.32008,1231.160103,1370.020088
Lyso_PC(2:0),-0.087300026,7.02139951,1.676435452,0.195398771,0.419302606,300.1134 -> 184.1,PC,1345.837595,1368.5301,1272.280094,1409.740089,1396.020103,1407.020103,1226.580093,1245.540073,1416.3601,1393.160103,1540.08012,1386.240101,1219.78009,1731.280136,1153.900085,1416.880093,1171.140079,1328.940094,1384.080101
Lyso_PC(24:0),-0.088805633,6.835692135,1.71174449,0.190759188,0.419302606,608.4577 -> 184.1,PC,1159.90258,1180.562582,1222.000088,1135.140083,1094.180077,1142.620075,1188.140091,1208.08009,1197.900082,1091.160057,1178.360088,1264.620083,1159.760082,1086.860081,1280.080086,1257.880089,1087.740078,1129.200066,1608.920124
PCo(34:4),-0.088723089,6.800362892,1.706796,0.191401601,0.419302606,740.6 -> 184.1,PC,1147.995083,1167.547584,1174.980091,1034.82008,1045.600082,1172.920078,1189.180077,1297.300091,1101.340073,1167.820091,1517.480103,1047.140079,1103.680069,1085.900085,1070.300079,1276.760086,1073.060081,1166.060085,1298.920094
Lyso_PC(18:3),-0.086636252,6.865174351,1.63510631,0.200998226,0.421702161,518.3168 -> 184.1,PC,1206.335089,1226.232586,1259.500092,1241.62009,1359.180099,1164.560085,1111.260075,1192.780094,1120.12009,1201.660088,1195.620087,1229.420094,1260.540073,1431.160091,1200.640099,1164.020084,1072.020077,1256.440086,1267.140091
PC (50:0),-0.087359567,6.689925937,1.643355992,0.199865634,0.421702161,986.9 -> 184.1,PC,1071.802577,1089.642581,1087.360069,1058.500069,1054.740074,1067.220085,1066.740082,1115.960083,1060.880077,1063.020077,1155.860088,1073.160084,1094.520077,1090.220081,1080.080078,1099.440083,1051.720074,1072.140083,1059.460072
C14:0,-0.080994797,13.50099748,1.574067283,0.209617327,0.435515612,227.3 -> 227.3,FFA,124563.3939,126206.5616,128495.5092,126771.5886,124495.9286,127148.629,123764.6089,125909.8893,122163.0686,117757.9288,131715.8491,125005.6293,133944.5297,139494.8902,135568.7098,124066.669,112569.268,107286.9478,54649.50385
PCo(38:5),0.083695327,7.106545019,1.548280498,0.213389466,0.439089862,794.6 -> 184.1,PC,1516.20011,1369.1401,1362.760105,1487.500114,1319.780083,1636.860134,1710.64011,1420.660103,1653.400112,1538.000118,1436.960087,1429.480103,1430.440113,1400.340107,1358.300102,1180.800095,1320.440083,1396.360107,1447.960114
PC (46:2),-0.082842861,6.71028503,1.479579341,0.22384035,0.456207951,926.8 -> 184.1,PC,1085.827578,1100.510078,1096.020077,1104.840076,1081.120087,1055.560078,1085.440067,1084.940075,1120.200085,1058.50008,1075.060081,1101.780079,1060.500065,1153.3601,1127.100086,1084.240067,1112.88007,1089.160076,1123.540085
PC (32:5),-0.081491251,6.834724803,1.443274434,0.2296102,0.45674199,724.5 -> 184.1,PC,1178.257585,1193.935083,1191.48008,1233.860092,1194.98008,1181.100086,1114.340076,1068.020077,1180.120087,1262.160099,1036.22007,1400.12009,1232.020096,1172.040077,1265.000088,1224.780087,1113.200073,1108.100082,1323.160099
PC (34:5),-0.08142512,6.803293753,1.437740646,0.230505303,0.45674199,752.5 -> 184.1,PC,1152.135082,1165.950082,1197.900082,1181.440083,1089.960072,1163.280083,1077.88007,1232.7001,1177.940086,1095.98008,1143.840084,1148.520081,1124.600082,1182.080093,1084.200066,1130.360081,1330.000084,1184.000084,1316.820084
PC (52:4),-0.081741115,6.726203042,1.44269271,0.229704098,0.45674199,1006.8 -> 184.1,PC,1102.88758,1116.545081,1063.780083,1120.020088,1059.800079,1128.780083,1067.700085,1188.580074,1081.22007,1113.220081,1093.48008,1155.520088,1095.860081,1120.18008,1109.58007,1055.84008,1172.360085,1129.540081,1061.380062
PC (44:3),-0.079730328,6.727106312,1.372514606,0.241380309,0.473902625,896.7 -> 184.1,PC,1102.767577,1115.387582,1099.620079,1094.000084,1097.88007,1245.520084,1055.140079,1094.440075,1076.280071,1059.260075,1093.300087,1086.560078,1099.520088,1109.180077,1173.060081,1126.640079,1100.00008,1134.840084,1084.020077
PC (30:0),0.075142659,9.733922543,1.336750495,0.247607839,0.481709796,706.5 -> 184.1,PC,9011.675644,8177.273121,7658.180557,7182.800545,8097.900558,8968.500561,8773.300529,10401.4007,10486.78093,10524.54078,8353.160725,8448.560638,8000.740604,8334.140598,8060.780624,8503.9006,8239.220577,7477.680603,14715.50117
PCo(40:5),0.075391391,7.123660727,1.25727387,0.262167741,0.50544051,822.6 -> 184.1,PC,1526.822603,1385.600098,1355.220089,1467.480087,1307.000088,1490.140106,1706.900124,1707.840118,1665.780109,1514.220104,1383.580093,1429.48011,1112.240082,1367.620087,1535.320107,1450.460094,1391.980114,1414.120098,1533.140102
PC (34:4),-0.073511292,7.044887292,1.190287568,0.275271558,0.525965299,754.5 -> 184.1,PC,1374.572601,1382.750103,1395.040108,1418.760094,1263.680107,1102.180084,1305.440094,1883.500145,1429.680099,1198.300076,1542.380119,1279.7001,1474.540112,1234.10009,1318.26009,1469.680111,1441.980106,1301.360092,1440.240093
PC (44:7),-0.073563863,6.727801591,1.168064357,0.27979932,0.529255543,888.6 -> 184.1,PC,1101.772577,1109.390078,1114.700073,1076.960075,1078.900074,1083.720078,1123.260082,1140.620087,1099.520073,1096.500072,1094.220074,1116.640079,1081.120064,1081.300087,1162.660084,1145.080078,1071.800079,1122.300076,1155.94009
PCo(40:6),-0.071059714,7.932048211,1.157715313,0.281939869,0.529255543,820.6 -> 184.1,PC,2613.67518,2625.575186,2424.540173,2672.900188,2617.760204,2711.020195,2355.500164,3098.920181,2712.720181,2316.040157,2288.940159,1908.840126,2686.560173,2744.420212,3039.300194,2463.900196,3036.780228,2835.860199,1488.820107
PC (46:0),-0.072385352,6.709840569,1.129403562,0.287902596,0.535749179,930.8 -> 184.1,PC,1087.515077,1094.320075,1094.58007,1097.140076,1078.560085,1080.520073,1091.740082,1071.54007,1106.040081,1080.000076,1098.200073,1129.900074,1125.980072,1068.780079,1087.180073,1084.200077,1061.000076,1099.320076,1156.520088
PC (42:1),-0.071574686,6.767497424,1.109317906,0.292230269,0.539114461,872.7 -> 184.1,PC,1138.685081,1144.867579,1146.300079,1091.940075,1171.480087,1098.620075,1104.50008,1198.280079,1160.720085,1137.640083,1110.240078,1099.960079,1072.580074,1235.600094,1178.420078,1192.360085,1140.440075,1129.340069,1100.860081
Lyso_PC(22:5),-0.068950924,8.03230298,1.09321544,0.295759868,0.540962493,570.3481 -> 184.1,PC,2793.612702,2804.907691,2196.240158,2673.620216,2662.840202,2373.840179,3220.600239,3071.160194,2919.22023,3231.380196,2274.600178,2098.08017,3461.220226,3445.020218,2914.04018,2690.020168,2798.940201,2757.340187,1769.940121
PC (48:2),-0.068833947,6.703664897,1.021084864,0.312261815,0.566305325,954.8 -> 184.1,PC,1086.515073,1090.692575,1107.140079,1079.300068,1166.100071,1083.320068,1054.460072,1056.160072,1074.580078,1071.060074,1087.460068,1105.740074,1104.460075,1067.08007,1094.660076,1114.720078,1054.420078,1097.000084,1111.880081
PC (42:8),-0.067430663,6.679185568,0.977907754,0.322715894,0.58034623,858.6 -> 184.1,PC,1066.247574,1069.072573,1047.200081,1088.760075,1024.760071,1089.140072,1133.100079,1079.500076,1053.440075,1014.080067,1086.48008,1111.940075,1047.140068,1024.080078,1027.80006,1106.620083,1034.460072,1114.060066,1135.16008
Lyso_PC(19:1),-0.064127785,6.832369089,0.893519109,0.344525441,0.605168449,536.3638 -> 184.1,PC,1182.257586,1182.340085,1095.340084,1199.240101,1323.280079,1077.180077,1177.960091,1069.460075,1169.760075,1345.840103,1120.040081,1156.360073,1138.200081,1131.620071,1089.460079,1277.880104,1160.720085,1384.440102,1345.680088
PC (44:4),-0.064801088,6.745919824,0.907984942,0.340649639,0.605168449,894.7 -> 184.1,PC,1124.395079,1126.007582,1146.680088,1153.32008,1132.700085,1239.880074,1096.440075,1072.180073,1088.020081,1065.940075,1087.900078,1125.460072,1119.040085,1156.920097,1108.420078,1208.760094,1126.920082,1074.640068,1074.060081
PC (46:1),-0.064297944,6.719511347,0.891753478,0.345002574,0.605168449,928.8 -> 184.1,PC,1097.860075,1098.55008,1211.44009,1092.460072,1075.680065,1148.84008,1060.240078,1066.980068,1072.080074,1055.160069,1124.560078,1071.140076,1064.900078,1114.460083,1122.460087,1070.420078,1101.32008,1119.140083,1164.160076
Lyso_PC(20:1),-0.063005089,7.032687813,0.874299711,0.349767711,0.608538944,550.3794 -> 184.1,PC,1376.710103,1377.167594,1305.460106,1546.600109,1253.160091,1300.0401,1207.140079,1429.980118,1475.920113,1495.380104,1314.660091,1445.8801,1644.320114,1329.660088,1455.120102,1325.320095,1317.440079,1184.940083,1257.380096
Lyso_PC(7:0),0.06203224,6.959648779,0.844037683,0.358244539,0.618260736,370.1916 -> 184.1,PC,1371.580095,1257.142588,1391.100098,1220.360088,1293.140079,1453.720104,1470.500107,1309.240086,1502.460098,1332.120102,1171.420074,1396.180111,1212.700092,1194.800079,1253.880093,1307.900085,1309.980087,1210.280083,1112.200073
PC (34:2),0.05834084,9.743767993,0.805630511,0.369415253,0.627419557,758.6 -> 184.1,PC,8804.888116,8088.648047,8167.560589,8396.140602,8871.220612,10360.60074,6791.760468,9181.040478,9816.280708,8854.500729,8165.140446,8112.700539,7171.50045,8503.540512,8325.780674,8544.840553,8395.420639,7490.260567,18247.56127
PCo(34:3),0.060956972,6.991813886,0.814691152,0.366736935,0.627419557,742.6 -> 184.1,PC,1364.485102,1251.570092,1405.220104,1425.340107,1196.300087,1242.580097,1378.540115,1399.800098,1615.480118,1252.62009,1236.920094,1248.300091,1397.960094,1171.300072,1162.340099,1309.620102,1256.480083,1229.640099,1751.780125
Lyso_Sphinganine-1-phosphocholine,0.059454005,7.102472938,0.781866554,0.376570889,0.634536773,467.3536 -> 184.1,PC,1516.435109,1391.967601,1496.280106,1693.16013,1372.580086,1322.320103,1535.400105,1641.12011,1717.780136,1352.840099,1292.7001,1531.560104,1541.260105,1164.360081,1653.720119,1173.760086,1197.420094,1580.960117,1178.640091
C20:4,-0.056157901,10.88343915,0.752859566,0.385572383,0.634711461,303.3 -> 303.3,FFA,20211.68144,20119.06891,21777.66138,21463.98159,19696.36144,19385.50138,21254.52159,20071.66147,19099.02127,18944.74141,21240.96152,20815.52143,19877.20135,19755.22133,20586.12148,20284.28156,19110.4213,19282.82131,13304.82095
C22:1,0.056719087,12.30212746,0.770981995,0.379913436,0.634711461,337.3 -> 337.3,FFA,57363.58898,52797.73115,57043.36406,55616.04386,59097.6841,56522.52371,53838.54371,59314.6839,59473.22416,58002.6443,54902.90392,55638.64399,56041.42345,56769.22395,58151.80399,47720.3033,46072.94326,47084.60336,16971.0612
Lyso_PC(15:0),0.058700745,7.0083367,0.757579539,0.384087063,0.634711461,482.3168 -> 184.1,PC,1408.030101,1292.910088,1417.740108,1473.680107,1369.820095,1223.900097,1400.3601,1701.080109,1366.520107,1311.140087,1280.92009,1251.760086,1364.000092,1258.26009,1180.460079,1300.62009,1421.180092,1286.080086,1307.420086
PCo(36:4),0.057448683,7.184230323,0.732806408,0.391975032,0.640325625,768.6 -> 184.1,PC,1591.742613,1463.517605,1481.440113,1382.960094,1743.160118,1539.280109,1487.620087,1780.260139,1683.020126,1636.200119,1415.28009,1432.920109,1533.900101,1443.680096,1728.300152,1485.760105,1306.300087,1362.000103,1459.160107
PC (36:6),-0.054894354,6.764972642,0.651486423,0.419581745,0.675116492,778.5 -> 184.1,PC,1126.805079,1119.935079,1023.920074,1098.560081,1097.740078,1308.660091,1193.420086,1139.520069,1048.940083,1103.680069,1100.640079,1112.620075,1012.960072,1110.800072,1207.720089,1092.100071,1128.060081,1194.58009,1371.66011
PC (52:0),-0.055149427,6.64119152,0.652404739,0.419254232,0.675116492,1014.9 -> 184.1,PC,1044.035074,1038.167576,1044.140079,1056.960079,1041.980072,1053.080074,1049.920082,1052.960068,1012.260067,1040.980072,1027.680073,1110.900078,1028.660072,1037.000072,1050.660072,1027.760082,1009.440075,1013.240082,1088.620068
SM (d18:1/12:0),-0.054427097,6.762130343,0.640648674,0.423476001,0.676297493,647.5 -> 184.1,PC,1130.47008,1123.500081,1115.84008,1143.300079,1192.900082,1078.140079,1144.140079,1111.960075,1168.42009,1089.060074,1096.68008,1059.480072,1106.220081,1175.18008,1232.040089,1117.420082,1024.780075,1176.200089,1274.820095
PC (44:2),-0.052958049,6.733800217,0.605618706,0.43644223,0.691841757,898.7 -> 184.1,PC,1114.375079,1105.95758,1117.640083,1088.320068,1157.760082,1104.560081,1085.060078,1062.940075,1055.780079,1242.940086,1061.300076,1142.800083,1062.700085,1086.760075,1117.560081,1072.260071,1072.720078,1231.560089,1157.58009
SM (d16:1/22:1),0.051288835,7.445326871,0.590320062,0.442295379,0.695964788,757.6 -> 184.1,PC,1847.405136,1703.335117,1641.30011,1680.840141,1788.040123,1897.340149,1839.320137,2083.320152,2242.840168,1606.240105,1735.480125,1625.600121,1646.000084,1362.400085,1814.040134,1769.760136,1589.820118,2083.580135,2675.680199
C18:4,0.049217711,10.8727523,0.578268204,0.446991932,0.698220973,275.3 -> 275.3,FFA,20883.42649,19326.74886,21874.14163,20789.32151,21864.14149,19712.2614,20736.40148,20911.54142,20903.66148,20275.94147,20550.28142,19890.14137,21332.18155,20617.44138,20008.64144,18104.84131,16715.62117,17394.84126,12110.18086
PC (42:2),-0.051325734,6.740107763,0.569093892,0.450619204,0.698689173,870.7 -> 184.1,PC,1119.35758,1109.977581,1141.640083,1088.700069,1098.040085,1066.240078,1128.060085,1100.640076,1151.780079,1179.760082,1110.600079,1097.460075,1107.620083,1122.760082,1111.040077,1131.820087,1107.800079,1090.720081,1175.660088
SM (d18:0/26:0),0.050822339,6.818071735,0.561089816,0.453821472,0.698689173,845.7 -> 184.1,PC,1227.77509,1134.782582,1119.280079,1193.34008,1240.980095,1273.540092,1329.280094,1220.840088,1056.020081,1388.920109,1263.780094,1143.720081,1261.260086,1115.100094,1033.100063,1158.720074,1011.780083,1090.800079,1175.860073
PC (40:1),-0.05046675,6.809081681,0.551991417,0.457505142,0.699329288,844.7 -> 184.1,PC,1156.537585,1146.855078,1169.900082,1024.980076,1131.640083,1100.220074,1336.440109,1062.380074,1232.140099,1194.600086,1121.58007,1210.900082,1251.600082,1223.800087,1195.840088,1088.640072,1063.540077,1018.940063,1537.420105
C20:0,0.046890737,14.12832103,0.527806657,0.467530449,0.70958522,311.3 -> 311.3,FFA,202281.8494,187889.8981,258762.3986,248194.4378,209516.0744,202876.7944,190215.6734,176691.2733,168470.6715,163527.4718,182602.3127,174844.2319,223754.1955,219121.0961,215452.9547,173367.772,158997.5911,154979.0309,62300.2045
PCo(32:2),-0.047216019,7.99252699,0.512025917,0.474263165,0.714734629,716.6 -> 184.1,PC,2736.177687,2706.140183,2146.120148,2145.220131,3015.10022,3006.640228,2484.980156,3026.720184,2550.840176,3513.800255,3017.62019,2762.660179,3000.840221,2891.38023,2743.540203,2652.640148,2546.440163,2034.00013,1774.300125
