lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Media_r1,C1-Media_r2,C1-Media_r3,C2-Media_r1,C2-Media_r2,C2-Media_r3,C3-Media_r1,C3-Media_r2,C3-Media_r3,R1-Media_r1,R1-Media_r2,R1-Media_r3,R2-Media_r1,R2-Media_r2,R2-Media_r3,R3-Media_r1,R3-Media_r2,R3-Media_r3,blank
C20:3,-0.8152824459216841,12.642489537059511,156.10404452904027,8.033994633442796e-36,1.7192748515567584e-33,305.3 -> 305.3,FFA,45279.0429954569,44541.6430931017,42147.2830123906,50002.9033622611,54964.9240799166,51368.2235756063,65858.5248412868,75047.2851562339,75783.7851333373,84706.3659439036,95668.4066848675,99818.926857031,76551.6655578451,86832.686111413,85767.506088252,88467.4263458255,103902.327102672,102499.846961965,18531.941375734
C24:6,-0.5831863521636218,13.052280765784097,80.41611703887543,3.033111655106262e-19,3.2454294709637e-17,355.3 -> 355.3,FFA,71560.244888294,69007.2846832491,67930.624649039,82459.545783995,79349.5457916539,80373.8855895685,98926.886901832,93648.5867538529,94933.0066070344,126612.969070435,123748.308982832,127581.609184242,107903.587776189,105740.646774279,105358.707313529,116484.568084706,108761.207870452,105081.787696843,33288.402328494
PC (40:0),0.5599207671336996,8.038042513594835,71.58391218332086,2.6571432391182762e-17,1.8954288439043703e-15,846.7 -> 184.1,PC,3203.0602340698,3270.340255737,3776.8202514647,4192.9802856445,4477.6803169243,5007.8203582767,3162.3802375784,3215.0402412408,3505.7002639774,3236.9202308652,2663.1001777661,2687.8201560985,1880.8401451113,1874.9801292417,2297.6001434324,1911.1801261892,2646.5801963816,2032.5801506036,1443.9400939939
Lyso_PC(18:1),-0.45427180578367693,8.24470225508711,47.43252787662944,5.693011758127773e-12,3.0457612905983585e-10,522.3481 -> 184.1,PC,2579.6802024843,3714.18025589,3298.4602661142,3067.2002410886,3209.4202041612,3107.9402503962,2836.320201873,2658.2201728833,2321.1601791373,4125.2002410872,3310.1202087415,3995.1002502432,4219.3802719117,3487.2002830495,4499.1602973934,3535.5802307129,3325.4002532955,3644.6002578742,3729.0402374264
C15:1,-0.39604805293981293,13.857611889335377,37.240339206029915,1.0443105518484493e-9,4.199200619723636e-8,239.3 -> 239.3,FFA,123377.369812015,138751.969985951,178808.132728595,146236.38983154,147458.190551735,159212.031272907,161169.430694566,165556.071807879,179538.591079715,151155.789962757,166166.811462392,190416.554336562,172547.131896955,180616.911972062,198708.412429805,165488.291351286,215802.195724511,266690.27923584,37924.2226715055
PC (32:2),0.3985425785275495,8.991282269105996,37.00652495943639,1.1773459681468138e-9,4.199200619723636e-8,730.5 -> 184.1,PC,7562.5405807485,7534.1605567915,7321.9804878234,6816.1404953,7134.6204566877,7220.4204483036,5770.1604194656,5796.4604797376,5318.8203849799,4927.7603225706,4326.5003852847,4634.4402999874,4520.7603569034,4647.9603805554,4595.4803466792,4672.3803291325,5613.5404510497,4587.7603301996,6489.4604911808
C22:1,0.34508304833589154,12.378952335071581,28.26128008833075,1.0599513869265564e-7,3.2404228114611868e-6,337.3 -> 337.3,FFA,71803.4052505351,66900.304405205,70559.5050506423,78338.0059890926,76199.6651840395,75694.2855987807,69673.565116851,69354.8446960725,71246.8648757976,54902.9039230174,53683.803600307,55638.6439857693,56041.4234466573,56769.223945611,58151.8039932399,47720.3033027708,46072.9432601966,47084.603363047,16971.0611953724
SM (d18:1/18:0),0.3367078857259401,9.093319040231856,26.452039664325177,2.701630607056354e-7,7.226861873875748e-6,731.6 -> 184.1,PC,7591.6405296313,8482.9604415861,7938.5606117218,6722.1403923038,6620.6204185533,7238.8204917938,5127.0603332516,5469.260364531,5593.0803375242,5211.3803634644,4680.0603790279,4969.5202636706,4857.8803520196,4326.9403190612,5653.3803787243,5409.7003669739,4662.5403404224,4893.620365144,12491.0408744635
PC (38:7),-0.33444149554683245,8.714081250793482,26.009408827122805,3.397575024975061e-7,8.078678392718479e-6,804.6 -> 184.1,PC,4030.9402580246,3163.0002212524,3569.4602699277,6073.9204483036,5280.6003112796,5723.5003776543,4718.2603263848,3941.8003082281,3936.3003005951,4852.1803817761,4162.4402809151,4389.6203002916,5450.7603912375,5307.2803878789,5423.0604095467,5626.2003631593,6626.68050003,5425.7204589813,1529.9600982671
SM (d18:1/16:0),0.3281879517230599,9.880705183882757,25.30952031913975,4.882927180416625e-7,1.0449464166091576e-5,703.6 -> 184.1,PC,13569.7209510619,13008.4208068823,13587.2210349873,10411.9006843593,10843.3405876117,10877.0407486004,7402.9406662011,8094.1605758665,8631.0406188934,8040.180591581,7449.9804306,8350.6806754991,8582.1406669686,8441.6006545985,7543.740547186,7917.6206016595,7455.42056274,7543.400596615,37158.8032455607
C17:0,0.2963194532578145,14.012872322092726,20.876769540626213,4.897988220098576e-6,9.528813446373594e-5,269.3 -> 269.3,FFA,219423.555435126,206880.37605283,199108.973983766,241709.358078034,240758.896553047,241984.056472752,213819.856262214,216374.035736095,213070.594894424,165572.511550893,165469.211112954,161028.452117925,183650.492889427,191763.953826883,188036.173553472,166406.231384267,151410.670288096,137929.070510892,40828.862838747
C20:1,0.2857576086970798,12.244661947887158,19.390582234111434,1.0653111417205034e-5,1.7536660332937516e-4,309.3 -> 309.3,FFA,59931.8441924863,57630.4040374589,58890.9241791005,74962.0853271239,75313.3451232927,68339.7647171138,61759.904472345,62567.5246200684,61521.9645309319,48023.9429130444,47586.5035476608,48309.0436515619,55958.2837104573,56694.4438552727,56321.8442382845,44483.5032615603,43764.9431991666,42710.8430214033,16399.5211181652
PC (30:2),0.2937615792272122,7.398399470502681,19.393103019315852,1.0639058992190977e-5,1.7536660332937516e-4,702.5 -> 184.1,PC,2322.8601455695,2467.720161439,2286.5801658638,2041.6001548771,2391.0401802074,2476.3001289369,1787.6801261909,1781.5801353461,1933.3201293939,1529.2801170341,1282.120098114,1836.3401489258,1763.3201065056,1656.6201171867,1720.4601097099,1714.8401107781,1575.0401115406,1681.9601135252,1994.9601326001
C24:0,0.27004168806568496,13.888820127513632,17.342483260549173,3.121303779414826e-5,4.7711357771055196e-4,367.3 -> 367.3,FFA,204488.335159308,183272.832366957,174348.972839346,225013.395431519,222387.754745507,216904.435043365,199599.413742066,193589.934219381,192387.893447872,154722.250999435,148700.59008789,149923.270626094,177777.592132518,178770.512077345,174660.272190117,144832.490997317,135881.109367365,134375.829467767,41301.702835082
C22:0,0.26786424115705487,13.64374286596529,17.06229316373947,3.617344482050771e-5,5.160744794392435e-4,339.3 -> 339.3,FFA,164797.431686413,159085.911331148,147442.70970154,185419.713119485,183027.493743899,180376.451889049,171635.972351097,163455.812065114,164018.891113264,135372.829833997,129809.509231603,127886.009048475,152796.370803843,147376.370170614,145087.570053088,120192.508453356,112101.568008403,105137.287567142,51079.543594373
Lyso_PC(16:1),-0.26993314754378633,8.612829541733332,16.925366433782884,3.887855584226812e-5,5.20000684390336e-4,494.3168 -> 184.1,PC,5102.880332947,5631.9803314214,4325.0202407838,4022.3002891548,4261.6603050234,4513.2803306574,3196.0402069096,3628.2202339179,3486.4202804559,5598.2803459181,4428.7202758787,5649.2004165663,4501.1802787775,4492.00033951,4664.8202819834,4666.7803459169,4121.6203308101,4580.5202980051,2524.0202026366
Lyso_PC(20:1),-0.25866280681252296,6.845033260768102,14.675912972547664,0.00012766738802207815,0.0016071071198073368,550.3794 -> 184.1,PC,1275.2000846863,1366.7400894166,1180.9000854494,1180.0400772089,1213.9400825501,1236.1800804136,1134.6200828549,1251.6400871272,1172.4800834655,1314.6600914007,1239.5800895691,1445.8801002511,1644.3201141354,1329.6600875852,1455.1201019287,1325.3200950624,1317.4400787352,1184.9400825498,1257.3800964357
C18:4,0.24195663104193105,10.910514828025637,13.866144205013908,1.9630304443496072e-4,0.0023338250838378666,275.3 -> 275.3,FFA,25852.1618614198,25298.7416801441,23923.781841278,25477.2217712376,26182.6216812088,24906.321804044,24585.9217910709,23390.7818298329,24682.1015968278,20550.2814178447,21829.401561732,19890.1413650531,21332.1815490752,20617.4413833631,20008.6414375294,18104.8413124101,16715.6211700431,17394.8412551887,12110.1808624252
C18:2,0.23074775132807668,11.131503993889801,12.621442973240448,3.81346841819736e-4,0.004295169692074921,279.3 -> 279.3,FFA,30830.442100531,27684.3219718975,27887.2419433557,27719.6820907641,26607.1618957447,25450.8018493659,33122.7422790515,31769.2221527066,29135.7821083054,22948.3416214032,22697.5417327869,22586.9615631127,26749.2420005806,25386.8617286687,23982.0417861948,21780.8815765389,20356.5214347818,20181.4814910889,14117.1009483347
PC (38:6),-0.22678560893339136,7.366592064759734,11.565562151490512,6.718457533095469e-4,0.007188749560412152,806.6 -> 184.1,PC,1764.940124511,2081.2001342775998,1780.2001380912,1635.9001235969,2026.0201568606,1952.66015625,1833.0401344293,1718.9801139827,1351.5400886538,1925.6001243589,1790.3201141361,1858.6601257314,2141.4601478559,2193.1601600636,1837.1001358025,1943.7201232909,1945.2201423646,1918.6801261901,1498.7001228325
PC (40:9),-0.21583010286128032,6.698189715564825,10.11902123660806,0.0014674690804700739,0.014274471964572535,828.6 -> 184.1,PC,1042.3800811766,1162.8800888059,1099.4000816343,1105.2800827026,1135.100082397,1136.080078125,1058.1400718688,1085.9200782775,1077.0200805663,1190.8000793453,1037.7000617981,1064.9400749205,1361.1000785824,1228.2400932307,1182.4200859067,1203.9200859067,1211.5800971985,1206.240077972,1595.4801292429
SM (d18:1/18:1)9Z)),0.21172234740120696,7.6032299300015795,10.153907360986,0.0014399571515701485,0.014274471964572535,729.6 -> 184.1,PC,2886.0001945493,2588.1801681534,2824.44017792,2428.6801795962,2059.4201583868,2487.6801757825,2165.4401626584,2054.1001663202,2176.0401535045,1577.0201072695,1827.9601325974,2073.7801475539,2197.7201614373,2134.5401420597,2131.8201675418,1686.1201133734,1983.4601325981,1796.9601440423,2693.7602157585
PC (38:4),-0.2019496606522886,8.08559527128508,9.362401590065751,0.002214817546751642,0.020607432826297886,810.6 -> 184.1,PC,3422.1402587878,2947.3402137749,2794.1601829534,2934.4001922631,2915.4202117901,2787.7002143866,2616.280212402,2792.5601768497,2437.520179748,2590.6601982112,2750.7401924132,3610.0402412416,3005.4602317805,3052.6202201846,3362.1801986684,2797.0202140812,2868.600177765,3365.160278321,5126.9003601079
C15:0,0.19589136147015287,13.902665192865754,9.13236887982248,0.002511263493020017,0.02184405057782168,241.3 -> 241.3,FFA,198229.773132313,183067.973060645,182522.312744145,219440.576637244,223894.194656371,219104.096115131,186283.43374633,184655.51191705,191244.792739828,158076.472885158,155583.330902093,153753.110290538,180966.471778884,188164.292274453,182597.013313336,144527.789817768,148226.2107849,141828.190231311,39058.582794191
Lyso_PC(19:3),0.19985155389391712,7.744866499432075,9.103022141722818,0.0025518750675025325,0.02184405057782168,532.3325 -> 184.1,PC,2703.9602050773,3337.9002532962,3188.9202270507,2640.9001655601,2612.1401824948,2503.4801597594,2210.9401550305,2959.9202156061,2494.1001892069,2686.4602088933,2666.2201766982,2500.1001892072,2022.4201583869,2370.2001495375,1852.5401268007,1855.8401412962,2030.580142976,1954.2401313785,1310.0600967409
Lyso_PC(3:0),-0.1998241782710638,6.991913786246234,8.83130012367435,0.0029610735500259894,0.024371913065598525,314.129 -> 184.1,PC,1292.240081787,1176.8200874326,1485.4800987247,1676.3801078796,1515.9401206969,1268.0400962828,1305.1000938411,1349.700084686,1421.7000808713,1484.6000976568,1266.6000785829,1338.7400894164,1643.0001029973,1364.6200904844,1327.8400878908,1601.1801109309,1588.2801322937,1693.5001220708,1325.3201065063
PC (32:3),0.19679899008086685,7.270801661864411,8.671242001815514,0.0032327079464207448,0.02562220372348294,728.5 -> 184.1,PC,2135.7201423645,1818.1801261901,1986.6401557931,1931.7801437363,2063.240127563,2110.900157928,1685.2801132203,1610.460132599,1988.240161896,1525.0001068117,1420.9600944523,1607.0601043702,2119.1601524358,1530.4800987238,1606.9401092522,1460.1001091013,1446.4200935369,1352.8600959775,1750.7001152051
C18:0,0.1880232558548899,18.48833937114708,8.418964800817776,0.003713271539627574,0.028380003910010748,283.3 -> 283.3,FFA,4707847.67617906,4347261.2802136,3979889.77865345,5139337.90579325,5199455.63000383,5110384.54614382,4868906.12866166,4952942.1990357,4862965.45593305,4018594.56942825,4048427.17044212,3931451.63141037,4232421.95692424,4318189.48324555,4183034.40991167,3793666.22518897,3530186.67648328,3216711.25469832,238026.458847061
Lyso_PC(22:1),-0.1939578608633713,6.77931973515013,8.223794406662398,0.004134466244379401,0.030509509527489376,578.4107 -> 184.1,PC,1156.7800903318,1205.2000885007,1183.680084229,1195.3000793452,1052.1000785828,1171.3200759892,1223.1200942993,1303.6201019282,1240.3200912467,1299.1000938418,1269.7600975033,1132.8000869751,1218.4400787348,1370.8800926201,1198.0400886537,1301.5000991824,1389.1000900268,1223.5800743112,1289.4400978087
PC (30:1),0.18583485228009627,9.567110611102661,8.11292768715549,0.004395068670182456,0.03135148984730152,704.5 -> 184.1,PC,10571.1008224474,10982.6008186339,10666.2807006798,9119.020591737,9353.1407470697,9297.2806854177,6113.3403816183,7511.1204910295,6397.9604187006,7898.9006004318,7345.0006675775,7578.2006149265,7235.6805572491,6955.9604187049,7158.0205116215,7050.9204673723,7332.3204879723,6701.1204528752,18346.8410759066
Lyso_PC(22:5),0.18469158881547834,8.042818110229817,7.8378456253972715,0.005116354663790146,0.035319351550035204,570.3481 -> 184.1,PC,3247.1202392566,2134.9001617425,2618.4601821903,3486.7202720649,3744.6202735899,3592.7202377314,3483.9202690119,3742.3602600087,4036.0803184522,2274.6001777664,2218.5001487732,2098.0801696775,3461.2202262894,3445.0202178956,2914.0401802061,2690.0201683057,2798.9402008046,2757.3401870725,1769.9401206975
Lyso_PC(8:0),0.18517448616419524,7.04035275815006,7.600039653281117,0.0058367017141368275,0.03903294271329003,384.2073 -> 184.1,PC,1320.0000839229,1844.7201118475,1557.280136109,1568.9400939949,1685.26013565,1740.8601264955,1443.7001113892,1856.8401412957,1735.2201194765,1245.8000793458,1241.2400894166,1264.6800956727,1354.3001098631,1260.2400970466,1492.9801101675,1396.7600975036,1433.3001060491,1360.1400947568,1392.8801002503
C26:0,0.17347409371889264,12.78187048893085,7.157749781538277,0.007464077664068186,0.04840341273062399,395.3 -> 395.3,FFA,89701.4459914908,85482.5258865414,81624.4461212128,95647.3269271568,95532.526557911,93575.3467483445,92340.9668273673,89033.1660690272,87980.7064704929,74204.4650802533,73884.8454742387,73362.885406491,82743.866233808,82642.5253219734,80825.6662139839,73105.465423566,64634.8444442489,64118.984703039,28102.9420165958
C17:1,0.16777384464830575,11.818151287233508,6.686812142388135,0.00971287367470402,0.05978889459467226,267.3 -> 267.3,FFA,45900.3036308281,44319.5630798424,40593.6429519655,48624.8035354704,49458.4232406574,46288.9432029828,47237.8434791444,45332.1630935516,47611.0235214289,37102.5427284254,35606.8425407372,36785.702606198996,43740.1230468683,44880.3629951339,43379.6432762023,36911.4427146916,33744.3623161311,32431.5223083517,13673.1409568842
Lyso_PC(20:5),-0.1747817450109474,6.768273385911379,6.674798339837895,0.009778557527166025,0.05978889459467226,542.3168 -> 184.1,PC,1107.700077057,1153.5600776669,1210.2000694278,1269.7000885011,1165.3400878904,1270.4800910944,1151.7600822449,1135.6400756836,1252.0200920103,1197.3200950625,1258.1800918575,1157.2400779724,1320.0200996399,1453.7600936889,1288.3400840759,1197.760074615,1163.5000839236,1215.9000930789,1313.3400955198
PCo(36:2),-0.17147304419667303,7.35380402809027,6.5878254712713975,0.010267851563943345,0.06103667318566322,772.6 -> 184.1,PC,2119.2601470948,1910.3801116935,1495.0801277164,1758.6800880422,1525.6600914,1734.1001396181,1505.1201095576,1657.1001205456,1641.2001037602,1710.5401077273,1724.9801292417,1904.5401229849,1719.1601448061,1598.8400993336,1874.9801330572,1751.1401176446,1752.7401084901,1996.0601272583,3678.7202796963
C34:0,0.16547920248084527,11.576729900609335,6.502022368606163,0.010775186068889855,0.06232134645249808,507.5 -> 507.5,FFA,35971.7426528938,36418.8824958789,35401.5024147037,41355.1429214456,41136.8828315675,41441.1030540423,39457.3027648912,38872.8829002443,39133.8026275734,31466.0422401434,34304.8424339281,32417.2222900396,31884.4421424865,35716.3824615481,35374.222454072,29457.3220634463,30249.6222000172,28758.8220176689,15378.2811698904
PC (36:2),-0.16101770838561286,9.475058944907019,6.0826435904436345,0.013651633205948506,0.07688025015981527,786.6 -> 184.1,PC,8736.0206451345,8608.0405998138,7789.3606109652,7224.0005531265,7162.7605209351,6677.920543668,5775.9804229738,5839.0203742983,5742.7804069517,6658.6405754096,7929.8405914348,7246.8605346726,7511.8604698143,7733.5206298841,7114.2405471783,7420.5205078137,7061.3605766224,7290.480499266,23948.5619277688
SM (d16:1/18:1),0.16448905328271865,7.160785545417582,6.020749140810697,0.014138643919638844,0.07758127689237725,701.6 -> 184.1,PC,1712.9601020832,1938.2601356512,1988.9401397715,1702.4001350405,1909.0601577748,1552.3600921624,1442.6200904854,1721.5401382452,1527.8001022341,1693.2401275636,1209.3200912473,1257.66009903,1401.0601005553,1353.9801025392,1593.540107727,1371.6201171873,1454.8400955198,1505.3201103206,2382.4401588444
C18:3,0.1566162717499452,10.539227503340689,5.805091306021865,0.01597983803227873,0.0854921334726912,277.3 -> 277.3,FFA,17841.0812873831,16979.8612403877,18146.3013000506,19341.2413673409,20125.4014778111,19846.3814201345,19108.7813606248,17206.0012092573,19143.1013641344,17341.4011726335,15852.8611106873,17613.8012428295,17171.1812248197,15977.4810676586,15251.541072842,14293.6410293575,14050.2609825104,12431.480834961,11279.7807998686
C14:1,-0.15161791514871506,12.783486944797422,5.468479157222703,0.019362467830603212,0.1004704834385104,225.2 -> 225.2,FFA,71713.365341153,81420.485672003,106574.007255545,67495.424835199,74504.94524381,77874.58575438,76713.925300579,78569.085998552,84776.3663329799,62776.084579471,72080.785125727,84074.525955187,70718.0849990722,74361.945754988,82233.885665894,65915.084594712,95874.566818234,131563.269195589,40406.66294861
C16:1,0.1511816509072478,12.68432611801751,5.436645316220591,0.019718506095408584,0.1004704834385104,253.3 -> 253.3,FFA,88226.045940386,84027.9058990413,79748.3657073654,79951.3252181807,83150.9056549048,81234.5262565391,85180.4059905889,87683.3461265563,87044.6661376782,64987.4644012281,66454.7846832101,66456.904888157,78692.2852172719,78897.0261421316,78206.8855895964,69331.8847656582,67039.9048003987,64047.564067819,17972.8213386525
PC (38:8),-0.15003509857915495,6.839017423161734,4.930903027769109,0.026380528533875,0.1312891420057965,802.5 -> 184.1,PC,1188.3800849915,1361.7601013194,1361.3201065066,1273.0200767518,1126.2800674441,1119.9600677491,1232.9600906373,1265.0800933837,1201.4400749209,1231.580078125,1225.7200813288,1415.1800994867,1410.1400947573,1154.8200798033,1421.6800994872,1173.900096893,1244.4600944519,1208.9800834654,1868.3601455672
C24:1,0.13163753571404244,13.18280821990892,4.1240447810903325,0.04227788214083084,0.1928432372223693,365.3 -> 365.3,FFA,111007.667587297,114329.36829375,112511.188095114,122391.948707608,129839.169097894,132481.589462284,112738.247947667,114840.9482231,114426.088375095,96703.9467506255,99913.5676040344,95283.5466766279,110247.747459405,110996.808135978,111013.628089921,94965.3466644224,92252.4463119274,92717.666336046,20766.141502381
Lyso_C17 sphingosine-1-phosphocholine,-0.13719033162642336,6.754991019385676,4.112048243010548,0.042578766091755545,0.1928432372223693,451.3223 -> 184.1,PC,1226.2600822454,1299.5600929261,1150.0600814818,1242.200088501,1216.8400840758,1317.6400833128,1192.8800773622,1101.9400863648,1086.6200714112,1099.0400733947,1180.9000930786,1229.3000717164,1218.100082398,1276.9600868223,1147.6000823974,1398.6200904844,1178.400081634,1326.7400817875,1155.9200897217
Lyso_PC(24:1),-0.1370162228487172,6.703300155626536,4.085425553239508,0.04325455788165293,0.1928432372223693,606.442 -> 184.1,PC,1154.6800880431001,1079.2400741579,1119.8600769046,1120.0800781249,1207.8600921632,1076.4400749206,1304.3000946045,1135.1200790403,1135.3400917049,1223.2800788876,1140.800086975,1214.0200881958,1233.8600883484,1059.4600715637,1230.8200950623,1150.1800842283,1151.5200843812,1153.6000785826,1362.3801078793
PC (36:1),-0.13447072931317117,8.851463160898435,4.21002329034566,0.040185785321305456,0.1928432372223693,788.6 -> 184.1,PC,6116.4804229747,4839.6203613275,5035.4603233346,4897.7003288256,4856.9603500364,5013.3204078674,4035.0202636711,3471.6402587888,3938.2003173827,4677.4203681965,4669.3003387447,4774.1004486097,4641.9402771002,4990.1003074634,5288.9003829964,5008.5803375235,4641.4403266908,4334.3602409354,14336.3008880579
PC (42:1),-0.1375007938822999,6.64891853394785,4.104348918274576,0.04277305743391994,0.1928432372223693,872.7 -> 184.1,PC,1099.5600814818,1104.8600730896,1130.3200836177,1063.8000793458,1259.5400848391,1126.9400711059,1086.7200851441,1071.0600776671,1107.0800819396,1110.2400779724,1108.6000823975,1099.960079193,1072.5800743101,1235.6000938418,1178.4200782775,1192.3600845339,1140.4400749204,1129.3400688173,1100.8600807189
SM (d18:1/14:0),0.13458533301911393,7.042833888733126,4.006861830859393,0.04531542205470723,0.19790816978994588,675.5 -> 184.1,PC,1339.1200981143,1983.0801544176,1680.960105897,1287.6600952147,1666.8201179503,1561.3201065057,1235.6600952143,1854.2801437372,1411.7200965883,1388.5801010122,1240.5000953673,1574.6401062016,1268.380069733,1461.0001029962,1203.800086975,1373.6001014717,1192.100082398,1168.3000793461,2427.7601699828
PC (48:0),-0.1307455190731508,6.612438856127616,3.7021411850719943,0.05434268921400198,0.22802618611365538,958.8 -> 184.1,PC,1069.9400787355,1152.7000770569,1074.4800834653,1103.8800849913,1085.3800735473,1081.6600837705,1069.3600730895,1092.020080566,1079.6400756836,1136.8800811765,1096.1400718689,1079.6000823974,1106.3400764466,1092.1800651549,1086.4800720217,1057.2800712586,1236.3400955197,1078.5400772094,1096.7200813294
SM (d18:0/16:0),0.12653945536557362,8.620140774677703,3.715119439024164,0.05392176679158321,0.22802618611365538,705.6 -> 184.1,PC,4858.9203491209,5661.5803832997,5167.2003364569,5075.9004020704,4215.320343016,4714.9003181436,3586.5802421575,3545.9002494818,3316.4002151496,3848.7802429185,3388.3402557382,3446.9202384955,3661.9802932736,4255.8602447511,3747.5602378833,4006.7803306578,3558.3002738951,4215.2402877803,10604.1006813067
PCo(34:0),-0.12693774392523047,7.233131217663518,3.5943723119749986,0.05797551867027186,0.23203800542945516,748.6 -> 184.1,PC,1705.8601379387,1736.1001205437,1894.4601402273,1653.2001380928,1529.9001083373,1533.240097047,1492.080108642,1452.500106812,1444.3801116941,1505.4401283261,1797.14012146,1474.560092926,1742.2201271053,1822.7001190196,1570.4201164252,1495.2001190182,1771.3801193237,1477.8201026929,3159.2202148442
