lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Media_r1,C1-Media_r2,C1-Media_r3,C2-Media_r1,C2-Media_r2,C2-Media_r3,C3-Media_r1,C3-Media_r2,C3-Media_r3,R1-Media_r1,R1-Media_r2,R1-Media_r3,R2-Media_r1,R2-Media_r2,R2-Media_r3,R3-Media_r1,R3-Media_r2,R3-Media_r3,blank
SM (d18:1/26:0),-0.12848982388020597,6.640561324317445,3.5779420233839154,0.05855164622986252,0.23203800542945516,843.7 -> 184.1,PC,1133.9800796508,1128.4000854488,1077.4400787352,1110.560070038,1065.940071106,1084.7200775147,1039.0200805662,1208.360080719,1037.5000839231,1345.4400901792,1134.4200782775,1109.4200782778,1106.120075226,1044.7600669859,1116.3400764465,1060.6000785826,1090.3800735475,1032.5600700379,1387.6000938415
SM (d18:2/24:1),0.125561607583109,7.967529028606547,3.6087651878010263,0.05747578024168265,0.23203800542945516,811.7 -> 184.1,PC,3840.5603141769,3182.8202514643,3604.2002410894,3315.2802581776,3268.4402427665,2531.0801696767,2141.960151672,1995.7801246657,2484.0001678466,2600.8001861576,2562.4602050777,2393.8601646433,2473.7001953121,2719.3802108772,2427.8801574697,2494.5601997377,2136.6801567071,2627.140167237,5050.7403602613
SM (d16:1/24:0),-0.12305277240566707,8.975556774121976,3.5322773580277413,0.06018506883559898,0.2341746314694215,787.7 -> 184.1,PC,5803.280399323,6443.0405044553,6892.300476071,5357.3203353929,4678.3203163153,4919.9403419478,4363.2403221122,3538.920249939,4196.500274659,5041.760360718,5610.2204132095,4988.540290833,5400.0004272448,5394.8804931651,5629.0004844673,4781.4403266909,5007.2804031367,4898.4203567507,15561.8409767029
C12:1,-0.12069508212271926,11.112670177105603,3.4556967656012714,0.0630341625074707,0.23469138570520232,197.2 -> 197.2,FFA,23492.1816482511,23298.2617492661,23944.5617561286,24732.4017639156,26943.0218620284,27005.3218536396,25150.4818115258,26808.2817230217,26622.1418495168,25097.2616806019,25794.7217521655,24729.6817398076,27628.5219764687,26966.5019836389,26700.8818168668,24687.5418472281,25074.001838681,23825.5215988213,14202.7810058631
Lyso_PC(5:0),-0.12489847079466472,6.845431060443407,3.424265845252984,0.06424480210262629,0.23469138570520232,342.1603 -> 184.1,PC,1144.2000885005,1114.4600830078,1289.2801017757,1439.0801010138,1362.3401031494,1366.3200950617,1169.8000907902,1396.6201019288,1234.9600906373,1269.2000999458,1296.2400894166,1274.84009552,1375.1200981137,1231.5200996402,1400.8801002502,1269.1600913999,1178.040081024,1374.9400939936,1374.2000923164
PCo(34:1),-0.12217949052891514,8.429738665284257,3.455151715158891,0.06305494799602371,0.23469138570520232,746.6 -> 184.1,PC,4331.0002708429,4449.4002647398,4130.4602699279,3985.3403129594,4141.6402740477,3949.1203117371,2766.2601737973,2999.5802078236,2781.1002044677,4166.1202964787,3609.8202972422,3258.2001724248,4748.9603042599,4121.9203262341,3778.3002853398,3469.020233155,3618.8202629098,3175.3402328478,6560.4005050659
PCp(40:6),-0.12486530282452425,6.822453375766886,3.412492768121739,0.06470463437666793,0.23469138570520232,818.6 -> 184.1,PC,1186.5000762935,1233.1200828556,1308.6400947575,1215.6000785823,1274.3600807193,1221.7000923159,1303.1400947572,1274.8000869751,1093.0400772094,1126.020072937,1252.6600875853,1460.1600875856,1159.6000900264,1239.060085297,1202.6400947572,1251.2400856021,1199.4800872803,1355.3400840764,1836.9801177975
C28:0,0.11853774593673069,12.678977903568045,3.342862178839937,0.06749710358211602,0.23679311748480047,423.4 -> 423.4,FFA,72280.1052169586,72125.8847427132,70022.8050765896,85742.6262855332,92374.486022945,90862.9464759696,87688.0464935152,83145.7859344321,88469.3259735032,68883.3046569476,68668.3051605004,66707.9648361143,79170.6257896535,77738.4454994258,75641.0053100454,69719.0450897039,66758.4446487406,63300.9642829796,23953.0817413311
PC (32:0),-0.11913696256058631,9.912157124258496,3.346196366368943,0.0673604951905696,0.23679311748480047,734.6 -> 184.1,PC,11776.7209320147,12215.5208320693,13319.9012107852,9625.5207786549,11011.4808502157,10326.3808364892,8166.0805854879,8544.7805290309,8121.4406166008,9350.5206413299,11113.7007637085,10192.9008598348,10511.6207733192,11041.2608718983,11201.1807098432,9292.0806426915,9935.9407539436,11267.1608009465,19829.7414550925
PC (44:3),-0.12286883433467319,6.619438706082873,3.2714290325657167,0.07049619027074835,0.24332555996677657,896.7 -> 184.1,PC,1072.1600723266,1086.8400802614,1086.4800720214,1093.0000839231,1104.0000839233,1104.9600906374,1072.8000717163,1089.2800712585,1183.7400779723,1093.3000869748,1083.6800804135,1086.5600776672,1099.5200881959,1109.1800765991,1173.0600814818,1126.6400794983,1100.0000801084,1134.8400840758,1084.0200767516
C16:0,0.11650852951419832,18.572520011749376,3.234005778809661,0.07212406829753475,0.24499286691543548,255.3 -> 255.3,FFA,5026124.477416,4614262.49853573,4313228.3381343,5280515.0842293,5375351.19604489,5276615.58371024,4896478.74600105,4958107.38940386,4984575.59908978,4207575.35009835,4235585.40591257,4204176.27575718,4566008.05111595,4707774.66140756,4622215.93273871,4268711.64062359,3975600.21759234,3601231.38970949,212711.674194336
PC (40:3),-0.12071821477913064,6.804964362960347,3.189893328095483,0.07409484652187642,0.2477546430575243,840.6 -> 184.1,PC,1184.2800827026,1187.480091095,1387.6400947566,1286.3800849909,1195.1800765997,1375.9800949098,1119.2800865171,1174.460090637,1221.3800773617,1312.1400871278,1325.0600929258,1216.7800750738,1468.9201164243,1103.5800819397,1248.6400947571,1257.3600883483,1116.2200775147,1198.4000968937,1521.8601112359
Lyso_PC(12:0),-0.11410965023373541,7.5835018300196575,2.9542497180233322,0.08565205251890934,0.2545769338756472,440.2699 -> 184.1,PC,1901.9201431267,2024.7201194764,2026.8601493834,2098.7801513671,2158.5001487728,2453.7601623542,2403.0601692199,2603.1601982128,2000.7601470946,1932.6401252742,2267.9001541121,2108.3601379394,2486.5801696776,2246.3601799008,2505.7601547246,2112.2201461808,1995.380126952,2162.9001541136,1451.9201011664
PC (36:7),-0.1164424880561603,6.739180439520511,2.9557435799871072,0.08557293499443915,0.2545769338756472,776.5 -> 184.1,PC,1258.8400955197,1254.1400756835,1051.1800880434,1153.560092926,1249.2000846858,1158.8600921629,1120.6400833131,1118.5200805669,1247.7800712587,1135.2800865171,1285.2800941471,1118.1000862121,1302.3001060481,1167.2200813293,1134.7000885013,1131.1200828552,1084.6400794982,1323.0000915532,1541.4600982657
PC (38:9),-0.11629672565676562,6.996045310338675,2.9882833937964115,0.08386903205081572,0.2545769338756472,800.5 -> 184.1,PC,1474.5001068113,1347.1401062014,1440.6601066591,1535.4601058955,1450.3801078799,1352.7400970465,1441.2600936896,1179.2200813293,1353.4401092533,1373.9600944515,1392.2601165772,1591.6001091012,1738.9801292411,1570.6601181029,1364.0001029967,1186.8600769046,1101.0400810242,1371.5600967404,2079.1201362614
PC (44:7),-0.11999824959759985,6.615984086464055,3.1187272165733564,0.07739721608235169,0.2545769338756472,888.6 -> 184.1,PC,1076.3000793456,1097.2000808715,1081.08008194,1083.8200798032,1135.940071106,1090.2000808715,1108.4400634764,1105.5400848388,1066.8000755307,1094.2200737,1062.9800720214,1116.6400794981,1081.1200637817,1081.3000869752,1162.6600837708,1145.0800781249,1071.8000793455,1122.3000755306,1155.9400901793
PC (44:8),-0.1171738429011658,6.632888275427494,2.9771141127437266,0.08444972548687121,0.2545769338756472,886.6 -> 184.1,PC,1115.7000846863,1081.3400802614,1100.3200836181,1075.2600669861,1132.8800773619,1155.6400833134,1060.3000717164,1128.9800872803,1131.5400848389,1077.2600822447,1126.0000915526,1093.4000701905,1108.4200706482,1205.6200828553,1099.5200691223,1072.8800697326,1072.7000656128,1200.4400863645,1149.6200828552
PC (52:4),-0.11688902283727357,6.623146362083711,2.961747162318307,0.08525577114813179,0.2545769338756472,1006.8 -> 184.1,PC,1079.6000785826,1074.480075836,1075.2800712586,1175.300086975,1083.4000778195,1062.0800743104,1111.2400741578,1150.8200759888,1137.1000862121,1093.4800796509,1087.86007309,1155.5200881956,1095.8600807186,1120.1800804137,1109.5800704956,1055.8400802611,1172.3600845334,1129.5400810244,1061.3800621033
PCo(34:4),-0.11852412840094322,6.693737884153679,3.056216407721436,0.08042874971284295,0.2545769338756472,740.6 -> 184.1,PC,1318.7601013185,1065.7000846862,1119.6400794985,1269.5200843809,1161.2200736994,1151.4400939938,1196.8000869748,1025.520072937,1054.4200782776,1517.4801025391,1099.7800712585,1047.140079498,1103.6800689699,1085.9000854489,1070.3000793457,1276.7600860602,1073.0600814816,1166.0600852966,1298.9200935361
SM (d18:1/12:0),-0.11843819463863353,6.6436715819764265,3.0423471432921447,0.08111854990731564,0.2545769338756472,647.5 -> 184.1,PC,1079.7200737001,1142.94008255,1089.1400718688,1192.0600814817,1112.1200790405,1067.2600746155,1210.2800941471,1020.4400787351,1083.4800834653,1096.6800804136,1100.6400833129,1059.4800720215,1106.2200813293,1175.1800804144,1232.0400886539,1117.4200820928,1024.7800750731,1176.2000885006,1274.8200950624
Lyso_PC(14:0),-0.11025766829780172,8.923484833424666,2.8408642967759263,0.09189477271177561,0.26549568757808034,468.3012 -> 184.1,PC,6001.2805023178,5599.8603172307,6730.6604919419,6505.70042038,5808.3604011531,6243.4004516598,5098.5403442389,4141.1803092953,4368.8602867131,5580.9004364034,5792.9004325863,5763.4003677361,5970.7003593444,6170.4604339596,5834.940402985,5050.6203575121,4854.3202896115,5646.9803619382,2486.4401474011
PC (34:5),-0.11418790570119754,6.6948102142412935,2.836670019273175,0.09213497218460251,0.26549568757808034,752.5 -> 184.1,PC,1131.8600845337,1143.6400833128,1082.840084076,1145.5400886535,1285.800090789,1082.1200752256,1156.2600708007,1175.0200881955,1174.3400917049,1143.8400840757,1094.0200691225,1148.5200805663,1124.6000823974,1182.0800933837,1084.2000656127,1130.3600807189,1330.0000839232,1184.0000839231,1316.820083618
PC (44:4),-0.11403365360155611,6.634425796168997,2.820842465822635,0.09304755405773843,0.26549568757808034,894.7 -> 184.1,PC,1130.1600875852,1177.6600837707,1076.8200721739,1129.4400863645,1058.7200736997,1062.6000823971,1194.9200820922,1084.8200798034,1121.0200805662,1087.9000778199,1083.3600730896,1125.4600715637,1119.0400848389,1156.9200973512,1108.4200782774,1208.7600936884,1126.9200820923,1074.6400680541,1074.0600814818
SM (d18:2/14:0),-0.11338574854795963,6.6672174196799885,2.794990407718645,0.09455933240213985,0.2662591728165517,673.5 -> 184.1,PC,1153.1800804138,1093.5200805664,1238.8600921631,1085.5200805666,1155.5800895693,1013.1400718686,1141.2400779724,1150.180091858,1258.8200874326,1136.3400726318,1112.8800811767,1115.7800865175,1214.3000907898,1160.6000709535,1111.3600769042,1114.6400718692,1227.9800872798,1147.3400840757,1051.0400695802
Lyso_PC(13:0),-0.10923429857536746,6.843919184976788,2.6197200052929546,0.10554306275870788,0.28215674326570067,454.2855 -> 184.1,PC,1302.0001029963,1179.4800796504,1338.0000877382,1342.760101318,1256.1400871278,1424.0801124565,1189.6400833129,1216.4200935361,1350.4600982666,1326.1400871275,1239.2600898747,1238.1800918581,1542.2600936879,1342.9400978091,1147.2400856017,1326.7801017755,1264.8000755314,1199.5400848384,1315.5201034554
PC (42:0),-0.10980473952692349,6.661114543979802,2.618125685943936,0.10564916686353736,0.28215674326570067,874.7 -> 184.1,PC,1081.1200752257,1161.3400917048,1161.4400787354,1081.0400772093,1115.76007843,1171.9800872801,1129.5800819394,1119.1600723266,1144.7600708009,1167.7600860593,1058.3400650026,1130.500076294,1123.900074005,1134.1400756837,1112.4400749205,1142.7000732422,1145.5600700376,1170.8400840759,1257.8400917051
PC (46:1),-0.11107874938175728,6.610067506055524,2.6712669698870926,0.10217465652198517,0.28215674326570067,928.8 -> 184.1,PC,1084.4200782777,1092.4600791929,1111.62008667,1072.4200744628,1058.2200775145,1105.6200828551,1124.680088043,1093.6800804138,1086.200073242,1124.5600776673,1072.9400749205,1071.1400756834,1064.9000778199,1114.4600830072,1122.4600868223,1070.4200782776,1101.3200798035,1119.1400833129,1164.1600761415
PC (50:0),-0.1096276070212733,6.597600583896717,2.6009801796391434,0.1067976458155222,0.28215674326570067,986.9 -> 184.1,PC,1107.5000801086,1067.1600723266,1082.1000823973,1082.180065155,1085.7400741578,1084.820083618,1062.5000839233,1079.2800827025,1143.2200775148,1155.8600883481,1099.5600776671,1073.1600837709,1094.5200767517,1090.2200813292,1080.0800781249,1099.44008255,1051.7200737,1072.1400833129,1059.4600715638
SM (d18:0/12:0),-0.11002038451242142,6.643659962245879,2.625692366935498,0.10514663114006195,0.28215674326570067,649.5 -> 184.1,PC,1143.9800720214,1093.5400810241,1046.6200752257,1155.4000854493,1254.0801010133,1064.4800758364,1098.7800750731,1075.7800712584,1112.3800849911,1079.1600685119,1092.7600898741,1129.1600685119,1122.1200828552,1081.1600761415,1243.1800880429,1122.5800895694,1036.0200691225,1165.5000839233,1243.2200736995
Lyso_PC(3:1),-0.10800929798220221,6.793649677731522,2.5551168984435275,0.10993768240727805,0.2869105370141159,312.1134 -> 184.1,PC,1253.3600959776,1177.3600845339,1196.7000885012,1306.5000991825,1338.0800971985,1083.8800735475,1356.8800926209,1168.6000747677,1375.2000961304,1087.5200767521,1205.7000961304,1280.8200874323,1312.4800987244,1402.6800956726,1236.1400947562,1145.020076752,1427.7000923154,1177.1200866698,1149.7800750733
PC (36:4),-0.10522783209449478,7.775030275467933,2.5209183953207273,0.1123451377463023,0.28966095756275534,782.6 -> 184.1,PC,2289.080165863,2193.0001449593,2992.7602195735,2487.0801506053,2239.7801818833,2406.520179749,2112.3201522823,2609.4401855463,1941.9401206972,2085.6401367183,2569.5202140816,2642.9001922602,2234.7001838681,2391.3801689141,2269.7201728815,2308.8201751706,2254.1001510611,2491.9001617435,4421.960300445
Lyso_PC(7:0),0.10646491987702054,6.900712384004347,2.4973655925781717,0.11403691228978276,0.29052260988111317,370.1916 -> 184.1,PC,1365.0201072691,1435.5801010126,1400.3800926208,1435.9001159674,1623.5601119994,1656.5201072686,1226.3000869751,1449.240097045,1539.040096283,1171.420074463,1257.6400871279,1396.1801109313,1212.7000923156,1194.8000793461,1253.880092621,1307.9000854491,1309.9800872812,1210.2800827025,1112.2000732422
PC (40:2),-0.1064137861093527,6.732438463014038,2.4637703573496186,0.1164988406208003,0.293302963445309,842.7 -> 184.1,PC,1099.0800666809,1225.6400794983,1090.2200737,1181.9800758362,1247.320091247,1236.8000831604,1066.5400733946,1041.4200744629,1216.4800796512,1102.3400764463,1208.4400749207,1102.3600807191,1213.400089264,1115.9200820921,1310.5200881958,1087.3000717163,1115.4800796509,1151.1400833128,1965.1601486205
PC (40:1),-0.1045930497499082,6.685592921680953,2.3769075101077695,0.12314110158164811,0.3028988015916402,844.7 -> 184.1,PC,1182.6600761419,1064.6200790405,1166.7800827022,1208.5400848386,1074.6000671385,1136.9200706483,1168.2200851441,1058.0000801087,1179.9000854497,1121.5800704956,1070.6400794984,1210.9000816343,1251.6000823974,1223.8000869754,1195.8400878903,1088.640071869,1063.5400772096,1018.9400634765,1537.4201049805
PCo(38:5),-0.10379130685687657,6.960653502942464,2.379526342786999,0.1229348159808986,0.3028988015916402,794.6 -> 184.1,PC,1480.9201164252,1419.9401016231,1485.06010437,1337.5600814817,1180.0000801084,1497.8801155086,1223.4200782781,1467.1001052849,1496.0401039125,1436.9600868226,1615.080112458,1429.4801025391,1430.4401130666,1400.3401069641,1358.3001022333,1180.800094604,1320.4400825504,1396.3601074212,1447.9601135259
PC (42:4),-0.1026428168068817,6.758576945227226,2.301296835948314,0.12926603195890624,0.3121907259207654,866.7 -> 184.1,PC,1200.1800880433,1186.2000808715,1244.3000946046,1165.90007782,1290.3200988773,1211.240089416,1203.2400856016,1209.7600784301,1194.7200737001,1227.6400909421,1215.0200881958,1249.8800926208,1185.4600944518,1474.7801170349,1135.7400817871,1171.0600776671,1128.9200859069,1102.0400886535,1346.8200988768
PCp(42:4),-0.10276623253621715,6.662734994362733,2.2944603521570768,0.1298363299390099,0.3121907259207654,850.7 -> 184.1,PC,1084.9200782776,1196.6200866698,1110.0400695804,1261.4000892641,1182.6200828549,1120.7000923156,1143.5200729368,1045.1000709534,1101.4800720214,1202.7000732423,1114.6000785828,1130.6200866698,1259.4400901791,1155.6200790401,1066.8400726319,1109.3400764466,1080.0600738526,1104.4600753784,1170.1000900268
Lyso_PC(18:4),-0.10208205043282223,6.671349393411241,2.264937074273476,0.1323315870735691,0.3146551070415976,516.3012 -> 184.1,PC,1120.8200798031,1153.6600761417,1065.660079956,1176.340084076,1192.7000846868,1167.12008667,1162.6800842285,1163.7800788878,1097.8800773618,1180.9400901798,1188.1000900269,1040.9000663757,1137.8600769047,1035.4200744627,1183.6000862122,1267.6000900275,1166.2200737001,1063.8400764467,1195.5400886536
C18:1,0.09634407066970753,13.122265750236187,2.2093474642740603,0.13717668409463532,0.3171182237793464,281.3 -> 281.3,FFA,113441.56808474,105922.94797515,97924.586822522,118841.168022181,116855.048336037,117175.20861054,112374.608390793,110282.547431907,112267.087894424,90260.6460380409,90514.8066940389,85988.5660476652,112072.008064292,115347.307968156,112873.587631232,95097.8667297224,90715.8058776414,83158.4454803527,27126.7419319159
PC (32:1),0.09641632885116529,10.759493570408566,2.2022096921421834,0.1378130598667253,0.3171182237793464,732.6 -> 184.1,PC,25152.7015762369,25246.2214241042,24702.8613967835,21612.4813957248,20968.2413749878,18795.9013862421,15247.7211265531,15297.8010826124,16337.5013160723,17616.1012878345,17424.7812271124,17108.3613205103,18915.3014488135,18626.3614959813,16488.4012451178,17360.7212562508,18054.121322629,17575.1012382423,30069.9421653802
PC (36:6),-0.10121635734438673,6.670480053102832,2.2249721026294553,0.13579510997694774,0.3171182237793464,778.5 -> 184.1,PC,1084.1400718689,1190.1400833134,1088.380077362,1147.3200759886,1163.2800865168,1052.660079956,1132.2600936892,1196.1800842286,1159.0000801085,1100.6400794983,1213.0600852962,1112.6200752257,1012.9600715637,1110.8000717165,1207.7200889584,1092.1000709532,1128.0600814818,1194.5800895694,1371.6601104736
C32:0,-0.09553136486670553,11.864528871880463,2.169009188967607,0.14081693637342788,0.31795052823452524,479.4 -> 479.4,FFA,40550.4429473951,39164.1227188083,37844.2626266493,42012.9828491242,46398.723106376,45975.7030181743,45471.3229827906,45355.7632751365,47171.583511348,38894.1628494291,40702.6629905676,41917.9428291354,45560.7833976679,45267.1430664057,45231.4230308541,42682.2030830427,44625.3830947899,42323.9229240503,18435.8812904344
SM (d18:2/20:1),-0.09939616545736525,6.810625555955402,2.1654177269060852,0.1411462625340182,0.31795052823452524,755.6 -> 184.1,PC,1269.2200927737,1526.6801071178,1386.5200958248,1452.1600952159,1240.1800880432,1171.8600845341,1095.9800834654,1107.7800827027,1148.1600837709,1287.6000900269,1203.9600868231,1320.2000808717,1333.8800964354,1118.7200851442,1198.2400932307,1245.4400978083,1359.6400909421,1261.0400810243,1233.0800857543
Lyso_PC(10:0),-0.0973792502515647,6.9750269228874675,2.096320535079517,0.14765408753646025,0.32783910765416135,412.2386 -> 184.1,PC,1379.7201080327,1522.0600852975,1493.7401123043,1526.960121155,1444.4601020811,1249.2400970458,1281.6000862119,1587.8201293937,1266.140083313,1310.3801002503,1207.2200889589,1107.4400749206,1836.6601371763,1170.4600753778,1599.4400939942,1506.920124054,1337.2200965878,1608.5001220704,1438.1001014708
PC (46:2),-0.09781190929383074,6.615738383471259,2.0725583394998237,0.14996976723142846,0.32783910765416135,926.8 -> 184.1,PC,1069.0600700377,1153.9000816344,1123.3000793456,1142.8000907896,1094.920085907,1090.0400733946,1071.4800834657,1118.2200813292,1073.0200843809,1075.0600814818,1075.0200843812,1101.7800788877,1060.5000648499,1153.3600997928,1127.1000862122,1084.2400665282,1112.8800697327,1089.1600761413,1123.5400848387
PCo(38:4),-0.09662815689872097,7.050389789530737,2.0709098980423652,0.15013192780424212,0.32783910765416135,796.6 -> 184.1,PC,1550.4201164237,1610.1601142878,1598.4401283271,1502.1201019277,1445.1601028441,1458.4200935369,1372.8201026916,1323.4800910947,1513.7000961304,1543.3800964361,1503.7401008607,1386.3001060482,1417.6400947575,1471.3200950627,1477.5401115419,1379.5400733952,1455.9600944515,1637.3401184082,1672.9201049786
PC (42:7),-0.0958209881444022,6.590290166246605,1.9852100238597359,0.15884261587793003,0.3410889950925308,860.6 -> 184.1,PC,1097.9800796508,1077.780078888,1039.2000732422,1145.220077514,1033.0200767516,1155.0800857544,1106.5000724792,1022.5600738524,1060.4200782774,1037.2200698852,1099.4000740051,1131.2600784303,1080.7000846861,1068.7600860596,1046.1600799561,1106.4800758363,1044.7800712584,1049.2600784301,1176.7801017763
PC (44:5),-0.09556299114956138,6.635765532841321,1.9800287231356513,0.1593873808843602,0.3410889950925308,892.7 -> 184.1,PC,1118.8200798036,1172.8400917055,1131.7600860596,1067.680076599,1072.7200851438,1070.0400772094,1116.260082245,1102.2200775145,1185.1600875851,1144.8200798034,1158.1200752255,1073.2600746154,1074.0600776674,1128.0000801085,1122.8600730895,1080.7000770567,1102.0400810242,1079.9800720216,1237.7800827023
C22:5,0.08969102022118546,12.192095148779085,1.912921902804129,0.16663904989223755,0.35307679878157266,329.3 -> 329.3,FFA,55654.363857268,54535.624038714,53930.443778974,60030.984306318,60222.964157103,59152.4640121295,59402.5238952546,58906.8242340255,58694.9642181283,50775.9235534606,49232.703418738,49178.483489983,53650.443870519,54141.3441772497,54778.703800191,48163.323486329,46853.2231368895,48281.7233047429,25730.0218963637
PC (46:0),-0.09276844400343774,6.621993064690572,1.864872483350204,0.17206349754287809,0.3609959654330972,930.8 -> 184.1,PC,1063.7800788879,1151.3000793459,1106.1200714113,1071.6800804138,1119.0400657654,1120.7400856019,1145.5000839235,1083.0200767517,1124.2600708008,1098.2000732423,1136.0200767518,1129.9000740048,1125.9800720214,1068.7800788878,1087.1800727843,1084.200077057,1061.000076294,1099.3200759888,1156.5200881956
PCo(32:2),-0.08891973454812174,7.910842286893219,1.8117552698143626,0.17829781214028326,0.3704439980390351,716.6 -> 184.1,PC,2449.5601692204,2976.7802009586,3039.0802268988,2866.3002281184,3089.5401725777,3038.2802391065,2489.8401794439,2420.6801681524,2588.9401855475,3017.620189669,3038.8202133168,2762.6601791382,3000.8402214055,2891.3802299484,2743.5402030951,2652.6401481636,2546.4401626589,2034.0001297001,1774.3001251216
Lyso_PC(22:6),-0.09028453084254788,6.7858449189247265,1.7829174978913098,0.18179148222531266,0.3740709345790087,568.3325 -> 184.1,PC,1372.3000907899,1113.6000938414,1254.6600837703,1281.7000885013,1391.3400955199,1142.3600845337,1235.3200874328,1219.1200828553,1121.6200790406,1045.1000785828,1193.4000816345,1131.380073547,1416.0801086423,1249.6800880437,1283.3600807194,1238.1800842287,1290.4200744631,1168.9000778197,1440.7400932321
PC (42:8),-0.08824352015040485,6.583223114708865,1.6831204299529015,0.19451033626229883,0.38188267853332064,858.6 -> 184.1,PC,1062.8600654601,1032.5200767516,1084.8600730897,1023.6800804137,1132.8800849917,1064.0400733946,1098.0000762938,1169.2800788875,1061.4800758361,1086.480079651,1050.7200813294,1111.9400749208,1047.1400680541,1024.0800781249,1027.8000602722,1106.6200828555,1034.4600715636,1114.0600662233,1135.1600799561
PC (44:1),-0.08831428396675907,6.615711504494696,1.6884358238913273,0.19380729039346636,0.38188267853332064,900.7 -> 184.1,PC,1068.7400741576,1082.7400741574,1120.0600776674,1100.0000724793,1127.1800765991,1129.8000793457,1061.7400779723,1098.8000717163,1104.9000701901,1084.7200736999,1084.8800735475,1090.7600784301,1079.0800819397,1082.6200714109,1067.7400741578,1096.2200775146,1068.6000823975,1112.300086975,1290.9400863647
