lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO_average,WT_average,EKO_R1_Cells_r1,EKO_R1_Cells_r2,EKO_R1_Cells_r3,EKO_R2_Cells_r1,EKO_R2_Cells_r2,EKO_R2_Cells_r3,EKO_R3_Cells_r1,EKO_R3_Cells_r2,EKO_R3_Cells_r3,WT_R1_Cells_r1,WT_R1_Cells_r2,WT_R1_Cells_r3,WT_R2_Cells_r1,WT_R2_Cells_r2,WT_R2_Cells_r3,WT_R3_Cells_r1,WT_R3_Cells_r2,WT_R3_Cells_r3,blank
C20:0,-2.133722163,15.48895015,535.6450066,1.67E-118,3.57E-116,311.3 -> 311.3,FFA,154513.0619,574848.1198,159329.6513,139158.53,131400.4292,141457.0898,129478.2088,133151.6894,194005.7526,177612.9525,185023.2535,756895.5954,760878.5984,759871.7148,859817.2253,861429.0592,824173.46,117718.1882,116208.1479,116641.0889,62300.2045
C22:0,-1.061402627,14.13341953,140.8597319,1.73E-32,1.85E-30,339.3 -> 339.3,FFA,103562.1895,184343.7978,122915.2885,104808.3477,102537.8874,94044.96643,90360.54637,85215.38568,112468.7482,107876.6674,111831.8681,240901.1579,242651.0576,236745.457,227100.4363,222305.7763,217180.776,92298.52704,89342.04614,90568.94618,51079.54359
C22:6,-0.978823768,12.7735457,120.1015381,6.01E-28,4.29E-26,327.3 -> 327.3,FFA,41140.63848,69660.34947,43546.9229,41428.02292,39700.54286,40347.683,37460.0827,36607.18265,43260.64313,44215.40311,43699.26306,80000.92574,81047.24631,84449.34549,90225.38695,85530.16611,89177.72641,39886.68291,39362.16282,37263.50253,31051.16212
C19:0,-0.943430154,14.68385006,111.8082845,3.94E-26,2.11E-24,297.3 -> 297.3,FFA,159835.0224,264791.143,166876.591,158389.3306,153961.3303,134773.5692,155436.3316,179823.4335,154209.9119,159505.1113,175539.5926,306208.6004,305565.2805,304460.643,353329.1442,357974.106,355717.1646,126632.8288,132376.4294,140856.0905,67751.44473
Lyso_PC(20:3),-0.86040937,9.41201164,92.30199257,7.44E-22,3.18E-20,546.3481 -> 184.1,PC,4278.889202,6858.611611,4919.260403,5165.180378,5301.48032,3823.740231,3355.400253,3600.900246,4484.020378,4278.660309,3581.360298,2802.440216,2903.300182,3233.100224,13569.54099,14029.18104,13760.48103,4486.980328,3317.340229,3625.140259,2050.540115
PC (32:3),0.709534004,11.05502615,63.51746191,1.59E-15,5.67E-14,728.5 -> 184.1,PC,23934.37046,12790.80977,28295.76195,23701.56168,22679.06165,23635.06155,22835.66148,20938.62138,23801.00149,25089.98129,24432.6217,10234.62072,11803.86073,10548.40084,13809.58096,13293.34076,13972.68102,13881.36089,14135.98099,13437.46103,1750.700115
C15:1,0.632576175,13.21028352,50.72175926,1.06E-12,3.25E-11,239.3 -> 239.3,FFA,98012.82239,56402.04616,49063.92321,88472.12602,92858.14672,51068.32346,178693.9335,244222.9964,40241.12277,53780.46368,83714.36573,43247.56309,55840.26393,75384.60541,43639.32304,50835.24342,79884.78558,37210.16262,47112.6431,74463.82529,37924.22267
PCo(32:3),-0.633868378,8.747277175,50.09416877,1.47E-12,3.92E-11,714.5 -> 184.1,PC,2859.349085,3908.809173,2589.720146,3177.460228,2986.360191,2819.340176,2466.460171,2773.060211,3005.100243,3189.980232,2726.660172,2395.460182,2138.440151,2377.240173,5949.420464,6772.020515,6638.920441,3375.940224,2556.2202,2975.620209,2886.220222
C20:1,-0.608466853,12.25310182,46.9248671,7.38E-12,1.75E-10,309.3 -> 309.3,FFA,34179.12461,45069.70325,38875.32286,35436.88232,32900.50237,30249.38208,29743.64205,30679.04229,36542.98254,35621.86235,37562.5026,43073.40333,45241.14313,45713.82317,62091.06452,57531.66411,57086.66438,31779.52221,32612.58203,30497.46234,16399.52112
Lyso_PC(19:3),-0.573500985,7.692859575,40.32810177,2.15E-10,4.59E-09,532.3325 -> 184.1,PC,1417.686774,1850.529029,1666.280125,1568.340122,1633.540131,1183.100094,1365.720093,1285.640095,1259.160095,1430.280098,1367.12011,1356.280098,1334.160107,1339.980103,2936.580254,2804.400215,2422.740196,1533.400089,1632.420116,1294.800079,1310.060097
SM (d18:1/18:1)9Z)),0.552498403,10.67469037,38.62498265,5.14E-10,9.99E-09,729.6 -> 184.1,PC,17479.76118,10426.48071,19987.92138,17443.96095,17252.48146,16387.68109,15224.12088,15425.00102,19257.7213,19569.98134,16768.98117,9499.640522,8528.640663,7636.180561,11163.64074,11046.02069,10249.74076,12051.00066,12039.48094,11623.98085,2693.760216
C24:5,-0.503994399,12.70735198,32.28117405,1.33E-08,2.38E-07,353.3 -> 353.3,FFA,48490.15896,59379.6286,53278.42377,49230.44346,46371.18329,45999.98333,42975.14301,42216.30305,53085.28359,51243.50352,52011.16362,61886.56427,63310.10448,64406.92445,71318.32478,69706.06503,65616.78452,46157.06342,47460.58331,44554.24318,27545.16193
C16:1,-0.487582826,12.15333549,30.20775913,3.88E-08,6.39E-07,253.3 -> 253.3,FFA,33373.51349,40666.38724,42579.403,33137.96221,33086.36228,31237.08217,27619.28199,26940.52194,35748.74274,33353.32237,36658.94268,29955.1621,32604.48219,34302.94243,60012.88414,62427.24408,61507.28434,29064.16214,27932.06184,28191.26191,17972.82134
PC (32:2),0.481485012,13.81952502,29.49262104,5.61E-08,8.01E-07,730.5 -> 184.1,PC,153448.5111,96151.13327,181678.1341,152100.0305,144377.2505,149638.4105,139283.3484,134614.7291,161308.7322,162869.0545,155166.9099,79666.02629,78409.78464,77716.64523,101275.8665,100916.1659,98694.26825,112041.1282,112373.1479,104267.1665,6489.460491
SM (d18:1/18:0),0.481658258,13.25865251,29.50666025,5.57E-08,8.01E-07,731.6 -> 184.1,PC,103099.7567,64639.82459,116955.5487,104153.589,99906.04602,96049.1673,93090.12714,91977.54756,110237.9094,112404.627,103123.248,52433.44353,52517.56358,52030.08419,70753.92477,68529.32455,67896.58528,77937.56537,71586.46516,68073.46483,12491.04087
C18:2,-0.472227109,11.9953889,28.33819221,1.02E-07,1.36E-06,279.3 -> 279.3,FFA,30233.28442,36213.29149,33589.24236,31542.5424,28360.84206,27961.72201,24820.40162,25893.16191,33036.50254,32755.76247,34139.38239,34062.56253,37608.48263,37617.42267,46184.36346,46793.34328,46768.68336,25125.02183,26141.5218,25618.22186,14117.10095
PCo(38:4),0.454162122,9.924975148,26.07331975,3.29E-07,4.14E-06,796.6 -> 184.1,PC,10102.14516,6448.293784,11340.30071,9553.920624,9407.480648,9479.740738,9458.380592,8790.320576,10850.4408,10899.86083,11138.86088,4974.160358,5467.940376,5267.180363,7099.60046,6626.92049,7423.280502,7726.260548,6788.880505,6660.420456,1672.920105
C20:3,0.450231231,13.4299241,25.79887957,3.79E-07,4.50E-06,305.3 -> 305.3,FFA,115033.5125,73303.8629,145884.1505,116120.9879,105720.3273,100798.3875,92005.8061,91267.54657,126656.6286,127602.1896,129245.5885,59459.72412,59315.76421,60775.32422,79098.12558,83832.36596,81236.62545,77543.46501,78641.44556,79831.92598,18531.94138
C22:1,-0.433434106,12.31983584,23.89874421,1.02E-06,1.14E-05,337.3 -> 337.3,FFA,38417.68275,45000.06535,41060.66297,39507.04279,36555.1225,36776.98257,36183.82246,33983.30248,40740.90303,40269.14302,40682.16293,43547.36308,44880.54334,43905.66286,55299.10381,54095.7839,51259.3035,36267.70253,37635.46262,38109.66254,16971.0612
C17:1,-0.430458628,11.4039347,23.54247483,1.22E-06,1.31E-05,267.3 -> 267.3,FFA,20002.44586,23455.63943,20136.20144,19828.36146,19075.74139,19011.22128,18432.12132,19057.68134,21081.50142,21356.5815,22042.60155,20809.04153,21081.66153,20498.62137,32373.38219,32003.04231,30902.44208,18785.86137,16510.2212,18136.48129,13673.14096
C24:0,-0.427827572,13.26928883,23.30233495,1.38E-06,1.41E-05,367.3 -> 367.3,FFA,73593.39398,85751.42155,80974.16577,72624.20494,74306.28496,72968.88486,68172.02475,69067.40475,75334.48538,72918.38507,75974.7053,88101.30629,91416.60662,92320.26657,98999.54636,94933.54652,92949.96638,70998.58514,71184.58523,70858.3848,41301.70284
PC (30:2),0.419710068,10.962813,22.36609381,2.25E-06,2.19E-05,702.5 -> 184.1,PC,20669.67484,13522.74985,22918.80205,19878.54148,19598.66119,19642.86144,19512.48117,18710.24137,21591.64172,21361.86172,22811.98138,11943.46085,10490.12065,10774.18074,13939.94097,14732.36094,13921.46114,15612.94121,15374.08122,14916.20097,1994.960133
PCo(34:1),0.415144553,12.47423105,21.93452147,2.82E-06,2.62E-05,746.6 -> 184.1,PC,58828.0866,38546.40045,62396.9245,53947.1843,53882.70362,56213.90434,53607.00394,52466.1042,67950.42464,67272.72555,61715.80431,33139.12235,32543.08193,31488.0623,41335.32319,39039.84323,39381.7426,45010.10292,44202.16282,40778.16269,6560.400505
C24:1,-0.409629538,12.93117482,21.36473685,3.80E-06,3.39E-05,365.3 -> 365.3,FFA,59561.92425,68439.85589,62388.10451,59883.9444,60678.86434,57195.32412,57553.54398,55666.94402,61936.26413,57596.96423,63157.36455,72682.30463,78679.76561,77489.10546,72224.48494,69991.42537,71190.84507,55632.10382,59860.46404,58208.20405,20766.1415
PCo(38:3),0.399247368,9.698692955,20.14219082,7.19E-06,6.15E-05,798.6 -> 184.1,PC,8445.278376,5585.087063,8938.380672,8812.300564,8093.760555,7132.300522,7784.480457,7257.340584,10262.54077,9159.740589,8566.660667,4442.360313,5323.220325,5100.660355,4905.300343,5544.660343,6460.160458,6371.400539,6357.840458,5760.180435,1904.840141
SM (d18:1/16:0),0.394526466,13.66040477,19.83021692,8.46E-06,6.97E-05,703.6 -> 184.1,PC,130667.3756,86973.14184,144101.3503,122526.8069,120241.7479,129046.9085,119981.5299,114170.848,143202.1282,144000.9703,138734.09,71832.34447,70329.74521,65336.20546,94769.30683,98744.74671,90267.60682,99868.92709,97692.84691,93916.54704,37158.80325
PCo(32:2),0.393000237,9.757051688,19.52570266,9.93E-06,7.87E-05,716.6 -> 184.1,PC,8775.39397,5845.375994,8677.74065,9094.220619,8289.360649,8892.760689,8844.640663,7767.540573,9833.240799,9234.060562,8344.980522,5322.660362,4903.960407,5112.460316,5902.78046,5716.760365,6136.920464,6444.840546,6244.580524,6823.420502,1774.300125
SM (d16:1/22:1),0.390767489,11.47448167,19.41763541,1.05E-05,8.03E-05,757.6 -> 184.1,PC,29272.88434,19509.30807,33321.32227,28530.64246,26114.70199,28461.90202,26685.68174,25421.42179,31424.56215,33050.08241,30445.64227,16264.46101,17082.02116,14825.40128,21544.74157,20656.10141,20744.32153,22345.62155,21306.66153,20814.44162,2675.680199
C14:1,0.387256785,12.81324019,19.09884548,1.24E-05,8.85E-05,225.2 -> 225.2,FFA,68545.48267,46530.59446,42452.32303,62613.9044,69203.88486,40298.40296,113083.528,150693.9905,36045.06258,43759.24321,58759.00444,38745.36265,45257.68332,60216.10445,39600.22274,43573.48323,61361.18436,32720.62225,41068.96295,56231.72419,40406.66295
SM (d16:1/18:1),0.389365524,9.316237475,19.10724431,1.24E-05,8.85E-05,701.6 -> 184.1,PC,6357.362676,4238.689187,7354.820511,5444.740314,5948.320408,5482.740414,6346.980461,5995.400475,6499.560459,7447.46048,6696.240559,3635.620274,3736.800266,3649.200256,4408.080284,4527.020302,4237.220314,5035.240322,4648.140308,4270.880352,2382.440159
PC (38:3),0.384143305,11.9956343,18.7809825,1.47E-05,1.01E-04,812.6 -> 184.1,PC,41816.99176,28061.36867,44694.88278,38447.88263,38464.12223,40042.963,38446.26254,36414.2623,46582.66334,47525.56364,45734.32336,22156.40148,21274.6616,21820.20162,29548.8022,29360.32198,30658.02207,34279.80242,30868.66229,32585.44238,4873.680355
PC (40:4),0.38117007,10.24654165,18.41597978,1.78E-05,1.19E-04,838.6 -> 184.1,PC,12359.10752,8316.980573,12367.92082,12207.02082,10767.74088,12169.80087,12508.00074,11155.84084,13847.10099,13404.84083,12803.70089,6750.540455,6799.300446,7080.580559,8181.70052,7820.000587,8601.260662,10769.22082,9848.780525,9001.440582,1865.820141
C24:6,-0.369704912,12.32464924,17.40451576,3.02E-05,1.96E-04,355.3 -> 355.3,FFA,38175.39157,42701.47627,42549.82304,38713.54272,37887.76245,36388.1225,35129.2024,35991.06251,38893.4428,37574.0029,40451.56284,47629.40316,44767.32298,45816.40321,46443.56335,44178.36304,43674.18295,37757.16243,36425.76257,37621.12273,33288.40233
Lyso_PC(20:2),-0.370656346,8.084428628,17.06203383,3.62E-05,2.28E-04,548.3638 -> 184.1,PC,2063.266818,2322.902392,2478.420193,2152.960167,1768.000122,2318.520172,1851.720135,1765.740135,2016.440144,1993.060135,2224.540157,2233.460167,1798.220139,2059.980152,2730.340214,2755.020187,3026.160213,2081.680157,2190.100178,2031.160126,1244.600082
PCo(34:2),0.359891148,11.10853719,16.46596116,4.95E-05,3.03E-04,744.6 -> 184.1,PC,22400.96602,15272.90552,23832.90139,22193.38185,20856.56135,22142.96144,20365.92147,19776.00135,24466.66184,23560.22194,24414.08155,13079.20101,11852.80093,12611.68087,16550.62107,14952.10107,17550.14134,18316.14128,15981.10114,16562.36097,2849.940193
PC (34:3),0.351591544,12.36681371,15.74675362,7.24E-05,4.30E-04,756.6 -> 184.1,PC,53886.44409,36891.70469,61266.40451,54492.66426,48566.60355,51121.06371,46656.4037,48327.10365,58407.06482,57752.32434,58388.36427,31093.54192,31388.26223,29689.48176,40436.36235,38539.12243,36252.10271,44435.62305,38652.00262,41538.84318,3224.540268
PC (32:0),0.348015284,14.58953266,15.44503528,8.49E-05,4.91E-04,734.6 -> 184.1,PC,250607.8662,172367.3691,271728.5801,243569.2165,227029.9792,239880.0353,234358.2178,221830.9152,280746.1964,273602.3782,262725.2775,141976.6493,135381.5495,136361.8496,183965.3899,177898.1135,182354.7924,205443.7924,196066.7717,191857.4134,19829.74146
PCo(34:3),0.336184109,9.192968452,14.24268082,1.61E-04,9.05E-04,742.6 -> 184.1,PC,5784.45152,4006.444735,6226.90041,5893.780449,6031.300392,5215.700348,4929.220371,5315.580368,6644.500488,6074.140461,5728.940392,3320.160217,3590.660286,3152.060253,4572.180344,4434.080284,4429.780308,4601.820343,4093.600315,3863.660267,1751.780125
PC (38:4),0.32948044,11.96417971,13.82649258,2.00E-04,0.001100121,810.6 -> 184.1,PC,40153.14947,27947.20433,42835.58293,37375.36259,37815.62316,39067.12252,38373.12267,35929.84219,45245.90361,44092.78316,40643.00241,22783.76212,23409.86182,23537.06197,28619.00185,29282.20221,30112.24236,31748.44231,30601.76186,31430.50246,5126.90036
PCo(38:5),0.329317804,9.195199634,13.66932834,2.18E-04,0.001166225,794.6 -> 184.1,PC,5819.167051,4043.244733,6156.780338,6006.520435,5480.14043,5467.060295,4792.880322,5299.640343,6493.000416,6809.800446,5866.680435,3409.640228,3663.240238,3507.160244,4437.800339,3619.740265,4603.880367,4640.380287,4490.680302,4016.680328,1447.960114
PCo(40:4),0.328136714,9.115728236,13.56179868,2.31E-04,0.00120485,824.6 -> 184.1,PC,5493.433718,3813.491393,5658.94043,5083.360329,5078.980309,5138.320297,5169.160378,5160.780331,6098.860504,6333.480476,5719.020405,3107.500229,3678.08028,3502.540256,4308.460297,3558.040222,4056.100319,3613.040291,3799.540272,4698.120373,1438.500088
PCo(36:3),0.325421353,9.810824492,13.40591523,2.51E-04,0.001278049,770.6 -> 184.1,PC,8975.982897,6255.456012,9947.060707,8771.620735,7906.960541,8366.84074,8204.160633,8359.400646,10468.5208,9089.500622,9669.780651,5503.220425,5252.160324,5083.180405,7692.840458,5467.760387,6774.7005,6871.560455,6270.720497,7382.960655,1579.200108
C18:1,-0.320310475,13.59792035,13.0849258,2.98E-04,0.001481485,281.3 -> 281.3,FFA,99119.66685,106584.6878,121865.2291,100407.7868,91462.34647,82118.28561,77050.14513,75649.24508,113554.4872,110850.0477,119119.4285,105316.0882,111126.2281,105689.2877,126560.3284,131744.7502,131620.8698,80482.5854,86724.28634,79997.76568,27126.74193
C18:0,-0.313057575,16.25739348,12.50620791,4.06E-04,0.001972701,283.3 -> 283.3,FFA,621879.4107,664344.0947,699354.9485,577070.1789,579482.5813,558102.3987,491308.0364,495140.4955,759609.3547,707087.1106,729759.5922,757004.9322,732678.3753,725312.5139,683855.77,679666.1494,667530.9854,593547.2005,565034.242,574466.6835,238026.4588
PCo(34:0),0.312249008,9.844204571,12.34523642,4.42E-04,0.002102494,748.6 -> 184.1,PC,8993.5984,6315.900457,9236.620571,8640.540668,8037.000637,8136.720528,7836.00066,8364.140533,10978.18064,10283.74067,9429.440681,5950.96043,5541.160366,5159.580395,6409.940456,6862.140415,6581.360447,7602.620583,6563.420532,6171.92049,3159.220215
C17:0,-0.301827747,12.69146136,11.61471943,6.54E-04,0.003044006,269.3 -> 269.3,FFA,50721.58793,54293.68167,55258.22377,52385.34358,50064.62344,49544.38339,44836.06312,47404.84328,50917.42326,51553.06367,54530.32381,54731.26384,55060.52393,54436.86395,56827.76422,56250.60405,58313.24451,51972.80382,50120.94328,50929.12345,40828.86284
C26:1,-0.300528457,16.40704406,11.52709278,6.86E-04,0.003122997,393.3 -> 393.3,FFA,709378.5855,754885.1133,870211.9232,757416.7817,747899.535,708611.6695,651892.3464,625640.1995,651859.3782,671051.1871,699824.249,856880.0012,879067.4976,889431.6257,714897.1499,697060.6154,681556.0667,681102.1278,702760.6498,691210.2858,19580.18132
SM (d18:2/24:1),0.295446254,11.20613934,11.10844097,8.59E-04,0.0038313,811.7 -> 184.1,PC,23326.8816,16607.63225,26289.22203,22030.9613,22613.68133,21074.08147,21036.36136,19634.98156,26904.72202,24655.44181,25702.48155,13889.14091,12710.90099,14122.30109,17918.68113,16750.48118,16863.32105,19008.90116,19337.18152,18867.78125,5050.74036
Lyso_Sphinganine-1-phosphocholine,-0.299373585,7.488570775,10.98443836,9.19E-04,0.003932469,467.3536 -> 184.1,PC,1364.36899,1474.82233,1332.300106,1507.880112,1588.980122,1402.660107,1330.860088,1340.780106,1274.580093,1309.480083,1191.800091,1171.560089,1382.620098,1445.58009,1429.240105,1085.120075,1585.440117,1742.580132,1665.940117,1765.320145,1178.640091
SM (d18:2/22:1),0.294415695,10.52555151,11.01114919,9.06E-04,0.003932469,783.6 -> 184.1,PC,14531.98765,10366.15404,16606.94106,13618.2208,14853.68106,12868.7008,12704.70102,12798.2609,16527.98111,16197.34126,14612.06088,9358.560604,8341.000553,7529.940483,10720.88077,10578.44071,11243.74068,12116.26092,11723.58087,11682.98079,3191.400211
PCo(32:0),0.293311766,10.73378739,10.93574014,9.43E-04,0.003958026,720.6 -> 184.1,PC,16733.42339,11901.0009,16988.98133,15466.66095,15431.80123,15849.68107,15529.60106,14875.46099,19005.10131,18259.72141,19193.80118,11127.20077,11613.34091,9377.080696,12644.64081,12043.5809,11719.36097,13703.38103,11703.04094,13177.38108,4154.520264
C22:5,-0.287638073,11.81146637,10.53991219,0.00116824,0.004807756,329.3 -> 329.3,FFA,27403.25751,29017.23987,28748.82214,28465.78194,28265.88195,24650.20171,25242.36191,25348.5019,28889.98199,27649.72191,29368.06216,29810.78205,30379.02214,30464.7422,29655.40231,29871.16206,30079.44223,27274.52195,26776.24197,26843.84195,25730.0219
SM (d18:0/18:0),0.277422453,14.3223357,9.8227517,0.001723663,0.006959695,733.6 -> 184.1,PC,204246.7668,147286.2414,231982.6363,196066.1917,185868.1521,193988.8896,190150.0537,181637.8532,221079.034,223943.695,213504.3959,126977.2084,117882.3898,121627.8889,157475.6099,155184.8503,155747.2501,167639.8324,168002.7715,155038.3714,11872.86077
C16:0,-0.270680366,16.27564126,9.354179125,0.002224776,0.00840628,255.3 -> 255.3,FFA,642710.5213,667569.1215,775395.9594,642347.8987,611806.7816,561519.0408,491986.3558,492927.2325,769120.9156,691358.1553,747932.3522,715443.3265,713154.6488,702060.0092,699268.371,711846.7338,702152.8868,579061.3399,597136.7783,587997.9995,212711.6742
Lyso_PC(19:2),-0.277633621,7.2389815,9.373699676,0.002201208,0.00840628,534.3481 -> 184.1,PC,1147.724525,1212.537862,1287.800091,1087.54007,1224.08009,1112.540081,1156.980076,1107.540077,1066.360073,1137.560085,1149.120079,1099.480076,1244.360077,1190.540085,1161.360073,1210.360096,1493.080109,1153.700081,1074.420082,1285.540081,1145.68008
PC (32:1),0.270567238,15.77153457,9.346038407,0.00223468,0.00840628,732.6 -> 184.1,PC,556633.3809,403940.108,628806.1475,539351.4341,522283.8347,532826.8225,503424.3368,499034.9147,611292.8783,595896.3579,576783.7019,335797.5188,323163.1657,307757.8023,446383.1318,425449.2479,430448.5905,472995.3321,450870.8322,442595.3511,30069.94217
PC (34:0),0.270659318,12.54169537,9.342453297,0.002239056,0.00840628,762.6 -> 184.1,PC,58815.7552,42652.96752,61774.92464,58888.10335,53270.94321,55380.02394,53033.18468,53223.20331,65830.24374,66022.28502,61918.88489,34994.86253,34891.20264,33210.30254,45945.68372,47418.64342,44811.50362,48673.46305,47647.74319,46283.30293,8230.92049
C32:0,-0.268964679,11.73802422,9.217153184,0.002397581,0.008846246,479.4 -> 479.4,FFA,26669.75082,28078.9842,27017.08198,30122.44213,29745.84232,24661.00172,25064.68188,25120.96182,25480.54179,25422.76175,27392.44199,26149.10183,26609.00176,27164.62193,24964.1417,26695.8819,28163.92212,29771.50209,28831.14217,34361.54228,18435.88129
C26:0,-0.266955258,15.10352745,9.097853256,0.002559097,0.009282148,395.3 -> 395.3,FFA,289340.8986,301189.6191,340272.8644,306697.7804,303691.2432,284144.0416,269512.4795,257189.1783,272149.4599,284669.9999,285741.0402,331634.1037,344373.6848,347197.0832,289484.46,282509.1213,280992.8997,282132.6606,274719.9588,277662.6001,28102.94202
C22:4,-0.263263283,11.69079638,8.830214482,0.002962836,0.010567447,331.3 -> 331.3,FFA,25651.04626,26740.993,26999.78197,26645.30188,25113.94185,23487.16171,25258.5817,24366.82171,25302.6218,26474.78188,27210.42187,28548.56198,27911.78183,27464.78201,26682.82185,25578.02182,26648.80198,27003.70202,25860.98177,24969.48174,20940.64142
PC (44:10),-0.263811508,7.37254733,8.503895658,0.003543869,0.012432591,882.6 -> 184.1,PC,1275.702313,1337.817873,1196.880074,1106.320076,1298.240097,1186.060081,1223.440083,1326.860107,1270.500095,1379.920101,1493.100101,1298.200089,1155.400078,1192.060085,1439.62011,1441.240116,1557.800098,1342.960091,1398.400101,1214.680088,1145.740082
Lyso_PC(20:5),-0.260856931,8.057290655,8.456612523,0.003637186,0.012554159,542.3168 -> 184.1,PC,2101.753478,2178.273492,2322.720169,1489.360111,2179.440144,2079.320141,2153.800133,1910.800148,2134.560143,2155.500153,2490.280159,2948.500191,2280.340164,2291.620144,2072.780159,1579.620113,1870.760147,2287.880165,2071.200169,2201.760178,1313.340096
Lyso_Sphingosine-1-phosphocholine,-0.260598931,7.203998767,8.240904187,0.004095672,0.013912284,465.3379 -> 184.1,PC,1100.442298,1149.364522,1096.020065,1056.760071,1083.260082,1073.140079,1050.760075,1065.700073,1098.720074,1250.360081,1129.260082,1210.200077,1061.340073,1043.620068,1067.060078,1140.740086,1171.040077,1178.940075,1213.600079,1257.740089,1459.200108
Lyso_PC(13:0),-0.256758042,7.353684335,8.046237957,0.004559825,0.015246914,454.2855 -> 184.1,PC,1246.397864,1297.051203,1305.180088,1174.18008,1227.26009,1405.860104,1218.980083,1202.240078,1124.580074,1236.440086,1322.860096,1506.480099,1321.960075,1158.380085,1325.120087,1173.10009,1111.300083,1250.600098,1488.040112,1338.480103,1315.520103
Lyso_PC(7:0),-0.25235784,7.376829987,7.783821473,0.005271617,0.017355785,370.1916 -> 184.1,PC,1286.273428,1338.720093,1303.320091,1212.960087,1164.740082,1485.640099,1392.800117,1269.320099,1207.360096,1201.300087,1339.020092,1200.300083,1274.260086,1352.800091,1306.920101,1288.420086,1156.600063,1431.940113,1411.880108,1625.360104,1112.200073
Lyso_PC(11:0),-0.250640331,7.325938987,7.659080898,0.005648727,0.018080054,426.2542 -> 184.1,PC,1218.411199,1261.071202,1161.440083,1136.300079,1201.960087,1099.440079,1390.860096,1162.680092,1235.500088,1398.020096,1179.500088,1552.440109,1142.660091,1247.640087,1160.480083,1208.960087,1239.260098,1179.920086,1190.420086,1427.860092,1370.020088
PC (32:4),0.247880749,8.191854811,7.655300016,0.005660578,0.018080054,726.5 -> 184.1,PC,2766.766866,2037.451255,2922.640236,2708.720177,2699.200207,2679.18021,2720.320168,3231.880238,2694.0802,2613.560173,2631.32019,1959.380131,1813.560127,1950.360138,2099.420139,2033.820137,2554.580196,2066.400135,1829.660141,2029.880154,1178.960075
PC (36:4),0.239283305,11.53359048,7.295541062,0.006912595,0.021754343,782.6 -> 184.1,PC,28907.773,21444.99701,32307.24238,27600.44162,28281.50179,28551.2218,25473.66167,25989.1218,28740.72178,30216.80173,33009.24248,17412.60107,17083.26111,18466.96138,21581.38174,20491.90113,23177.56165,27290.60164,25180.34185,22320.36151,4421.9603
PC (52:4),-0.238472228,7.162782533,6.901541034,0.008612148,0.026710141,1006.8 -> 184.1,PC,1106.4023,1138.642306,1091.360077,1129.860085,1124.700073,1093.380081,1085.920071,1099.520073,1103.440075,1139.100082,1090.340084,1135.240082,1139.56007,1098.700085,1118.640083,1070.760078,1154.7001,1189.08009,1164.900078,1176.200085,1061.380062
PCo(32:1),0.230627496,11.57062876,6.778266536,0.009227446,0.028209621,718.6 -> 184.1,PC,29677.06876,22086.6304,31804.56215,26538.86171,26300.60185,29080.78197,26339.8818,27425.60239,32460.822,35371.20251,31771.30244,19678.78121,18643.4614,18146.78118,22768.92162,22167.66142,22026.30162,26667.6615,23419.26187,25260.84178,3835.020279
PC (44:7),-0.23470216,7.260369911,6.706716545,0.009605042,0.028950409,888.6 -> 184.1,PC,1184.868971,1214.137861,1280.58009,1078.500076,1273.560097,1199.820076,1190.020088,1095.120071,1192.400085,1189.160072,1164.66008,1220.300091,1201.700081,1197.800079,1174.400082,1280.180092,1307.800087,1248.040085,1135.72007,1161.300083,1155.94009
