lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Cells_r1,C1-Cells_r2,C1-Cells_r3,C2-Cells_r1,C2-Cells_r2,C2-Cells_r3,C3-Cells_r1,C3-Cells_r2,C3-Cells_r3,R1-Cells_r1,R1-Cells_r2,R1-Cells_r3,R2-Cells_r1,R2-Cells_r2,R2-Cells_r3,R3-Cells_r1,R3-Cells_r2,R3-Cells_r3,blank
C20:0,1.9004191930244259,15.357859172661717,417.2089434302798,9.884563678383468e-93,2.1152966271740622e-90,311.3 -> 311.3,FFA,867555.280272966,749756.813659617,737588.867645508,768445.074065974,739520.674865739,737859.294219943,122765.648742677,127628.868438724,119722.909149181,159329.651275606,139158.529953005,131400.429168695,141457.089752218,129478.208831754,133151.689392068,194005.752563412,177612.952514665,185023.253478991,62300.204498283
C19:0,0.9598910418974923,14.747832218407588,111.77919394165224,3.994054749821798e-26,4.2736385823093235e-24,297.3 -> 297.3,FFA,392171.906585811,401198.986801039,417857.230804474,349088.784912111,353767.443908596,354315.98464968,135951.029418942,138012.489761326,144595.770202653,166876.59097291,158389.330612137,153961.330322277,134773.569152808,155436.331649763,179823.433502197,154209.911895764,159505.111328095,175539.592559812,67751.444732647
PC (36:2),-0.941363297689638,14.378287025018897,107.57068073549914,3.3378673200280884e-25,2.381012021620036e-23,786.6 -> 184.1,PC,126465.888793869,114565.887786785,107325.627746653,126263.369628968,134726.06909175,126709.108612029,121149.208419739,118007.548339832,116406.249267526,258012.456115889,226962.017456136,216477.235534745,229150.894103915,226234.075927734,222686.43371578,272273.976928499,276438.400695856,269525.698852558,23948.5619277688
PC (36:1),-0.9218196436541418,12.495813878663114,103.12879220759805,3.1405356894100638e-24,1.680186593834384e-22,788.6 -> 184.1,PC,33027.04261399,30982.102500923,28097.7420654339,37878.603149396,33889.142410277,31858.302307121,33575.342224111,31718.442298908,33109.242515563,67266.204910281,62795.464538573,62444.823913593,61594.50471496,59486.184112548,58246.584548929,71607.785705569,70581.043945306,69861.764709474,14336.3008880579
SM (d16:1/24:0),-0.9183046283278022,13.244449322620476,102.40901450754512,4.516417629820062e-24,1.9330267455629864e-22,787.7 -> 184.1,PC,58257.544677726,52093.243545516,49017.923400873,56919.723983769,59771.723846421,55880.323928836,56048.763771052,55397.563980087,56474.983123793,119344.407928415,102156.649505585,98529.545562758,105754.486602923,101976.887298562,96931.926361018,123495.46850583,123527.028869635,119305.748565636,15561.8409767029
SM (d18:1/24:0),-0.8762793163171111,10.47847560307404,92.9679042955706,5.314930648719023e-22,1.895658598043118e-20,815.7 -> 184.1,PC,8132.880531311,7732.0805397009,7822.0205879214,8651.0005912802,8209.3405609122,8014.9804763784005,7681.3804702742,7951.7205123903,6895.3604621888,15909.520870198,14043.6809043741,13420.9211311361,15218.4810791002,14476.1609878461,13388.1008834719,17508.9411926153,15867.6211051821,16996.9010848986,8831.2206382744
C15:1,0.8691424316044646,14.019184648072807,91.92094513918255,9.020915944679267e-22,2.757822874516233e-20,239.3 -> 239.3,FFA,75882.385353102,474003.574943653,554938.257934737,44395.223236086,92523.326042208,124026.048492414,35767.9826354992,61346.404190061,100702.947326664,49063.9232101397,88472.126022325,92858.1467208892,51068.323463433,178693.933547988,244222.996353146,40241.122772221,53780.463684102,83714.3657302827,37924.2226715055
PC (38:2),-0.8648481451490933,11.45497014204109,90.83462082256932,1.5619634313173549e-21,4.1782521787739244e-20,814.6 -> 184.1,PC,17221.9212760825,15331.1009368969,15548.4811324987,18938.0414504961,15433.7412033115,15783.3409729019,16731.6814155626,15143.5808563227,15636.6609420681,30832.0422134469,29454.7218933018,27237.4422226105,31522.8022384746,28129.0222244276,28222.7619247483,35029.342735286,34621.562500006,33194.1423950209,8506.7006835846
SM (d18:0/22:0),-0.8337047440659469,11.048293630122695,84.42841525984429,3.983808659721751e-20,9.472611702005052e-19,789.7 -> 184.1,PC,12126.4206542977,12298.9407310498,11703.7007675057,12822.5607872061,13535.5407867516,13185.0007286012,11690.7006454549,11114.3607864474,13275.6011047281,24093.741882328,21827.5017623918,21452.2014312785,22077.0414962763,21447.0614242487,21701.1615066427,25101.7416458223,25068.3216476396,25994.5615997194,5912.8204383852
C22:6,0.796472661015528,12.71500679231101,77.32511722628328,1.450101471814588e-18,3.103217149683218e-17,327.3 -> 327.3,FFA,91329.106231679,80821.145782451,79373.7054595891,82230.225654589,81673.185790991,81537.265518193,39893.98279571,39691.3428344659,39603.062713623,43546.922904963,41428.022918698,39700.542861936,40347.68299866,37460.082695003,36607.1826477027,43260.643127442,44215.403114324,43699.263061523,31051.162117009
C14:1,0.7947572194166231,13.469017349394612,77.02949450330652,1.6842383181386101e-18,3.276609091651478e-17,225.2 -> 225.2,FFA,59332.224243168,295430.180511524,333237.221542316,40635.26283264,67423.804565404,85446.866119381,34818.182472235,49316.423492441,69376.025001527,42452.323028564,62613.90439607,69203.884857178,40298.402961727,113083.528045635,150693.990493759,36045.062576295,43759.243209842,58759.0044403,40406.66294861
C22:0,0.7913178786382022,14.015649819022997,76.38868866520875,2.3298195314566023e-18,4.154844831097607e-17,339.3 -> 339.3,FFA,236036.036605862,197625.994934092,199667.393524143,215035.696121231,205666.094558697,200592.753997821,96928.067016604,96782.086791985,94777.926483151,122915.28845215,104808.347717291,102537.887359624,94044.96643064,90360.546371474,85215.38568114,112468.748230015,107876.667419393,111831.868057242,51079.543594373
PC (38:1),-0.769999467094598,9.36526251641415,71.60387852951764,2.6303912748381255e-17,4.3300287139642985e-16,816.6 -> 184.1,PC,4062.5802879324,3868.0402641282,3613.3802604677,3908.5602188097,3974.4403076155,4501.3003273007,2850.6202278141,3695.7803077689,4003.9802207947,6995.220489503,6758.8604888911,5639.2604598995,6530.9605064389,6780.4004554743,6721.2803916926,7317.4405517572,7424.2405776978,7352.1605453526,4048.800292968
SM (d18:1/24:1)15Z)),-0.5786107011278931,12.103649573622485,41.02705916074615,1.5013612190251028e-10,2.294937863366943e-9,813.7 -> 184.1,PC,29597.8217430033,28193.2420272831,26330.8016090416,29473.0620841883,30343.7421150217,29936.2422790638,28831.7819137806,27335.7817649779,26962.9018936104,46371.9238433835,43467.622756966,39335.3625373705,41654.163345346,41380.5432510353,39932.3828048707,50545.1236190823,49800.8833999604,50060.424110409,15759.3212776419
Lyso_PC(20:3),0.5395032147390542,9.273348287779388,35.35969852646484,2.741002599363797e-9,3.9104970417590177e-8,546.3481 -> 184.1,PC,4475.5203437788,3573.94021988,3260.3002891528,10081.3206596369,10063.1006469664,10632.1807632443,3738.3202552802,3775.5402717582,4265.6203422538,4919.2604026795,5165.1803779599,5301.4803199778,3823.7402305595,3355.4002532963,3600.9002456658,4484.0203781116,4278.6603088378,3581.3602981559,2050.5401153562
PC (32:0),-0.5336992706987395,14.564185883846037,34.985838714586066,3.3211194802029384e-9,4.4419973047714304e-8,734.6 -> 184.1,PC,175089.231201272,157523.071899393,145658.247924901,176838.193969603,171039.032287548,163161.932556229,170928.950256485,166064.471374575,159865.371581904,271728.580139288,243569.216491484,227029.979248136,239880.035278362,234358.217773407,221830.915161152,280746.196411077,273602.37817382,262725.27746578,19829.7414550925
PCo(32:3),0.5282894306546876,8.743273332963827,33.72456189784396,6.349391351274587e-9,7.99276323042801e-8,714.5 -> 184.1,PC,3528.0002403264,3213.5002517702,2316.1401672361,5001.2603378272,6021.8804092396,5265.8204040529,3369.3402404774,3748.3402366647,3180.4002380362,2589.7201461793,3177.4602279656,2986.3601913455,2819.340175629,2466.4601707446,2773.0602111805,3005.1002426152,3189.98023224,2726.6601715087,2886.2202224731
PC (36:0); PCp(38:6),-0.5181686496548649,9.39005329720532,32.65397735719821,1.101138572875085e-8,1.3091314144181565e-7,790.6 -> 184.1,PC,4474.1003456108,4064.9602775562,4445.5603027345,4571.6003417958,4820.4203262334,4778.5202865585,4679.0403022763,4008.6002578732,3964.6202850335,6008.5204124461,6704.2403869625,6111.7404251107,6451.1805076593,6569.9004898073,6672.2604713422,7292.7605247477,6604.8005218518,7158.6605224609,2908.0001907348
SM (d18:2/24:1),-0.47517206527663863,11.183268568496121,27.691472359663862,1.4228857524816626e-7,1.6026186896372411e-6,811.7 -> 184.1,PC,17692.4411621219,15977.4411010712,15182.220924369,16913.8810043297,16789.201095582,16042.6012954806,15147.1812973023,14904.1410751365,15291.5209007199,26289.222034461,22030.9613037177,22613.6813278196,21074.0814742959,21036.3613624483,19634.9815597532,26904.722015365,24655.4418068016,25702.4815521203,5050.7403602613
C20:1,0.46587035684221073,12.22555035619644,26.66285998158295,2.422331575778584e-7,2.5918947860830847e-6,309.3 -> 309.3,FFA,62182.544368737,52090.6032104606,49370.1237983603,52038.2436676043,47733.223594643,47199.4633789102,30188.2620506233,33361.6024208116,32061.9021530143,38875.3228607056,35436.882316595,32900.5023689256,30249.3820800804,29743.6420517,30679.0422897278,36542.9825439411,35621.8623504625,37562.5025978124,16399.5211181652
C16:1,0.4565531789730991,12.190179202695894,25.61037362783702,4.1778732902454573e-7,4.257451829107275e-6,253.3 -> 253.3,FFA,57902.864391337,38191.1428642282,39353.9631385849,55656.8040237418,47998.9833106887,50084.4837722766,33187.002346037,37812.1428222719,33645.2824096635,42579.4030036842,33137.9622077941,33086.3622779835,31237.0821723943,27619.281986241702,26940.5219421361,35748.7427368249,33353.3223686149,36658.9426841634,17972.8213386525
C20:3,-0.4544011655975907,13.481495338109314,25.39305927636292,4.6759746883735306e-7,4.548448105963343e-6,305.3 -> 305.3,FFA,90266.9068679609,64562.8839988577,63687.6244239783,95236.6267738414,86161.3260955438,87265.5067519899,76568.6655578304,81151.1256179596,74571.6855468618,145884.15052796,116120.98788069,105720.327270493,100798.387523602,92005.8060989605,91267.5465698259,126656.628612531,127602.189556121,129245.588493345,18531.941375734
PC (40:2),-0.4582950693521517,8.250571180052537,25.24362078744064,5.052640940519601e-7,4.701152875092151e-6,842.7 -> 184.1,PC,2433.7401771537,2062.5201797484,2083.2001190178,2254.0601730357,2067.1601333621,1497.1601142886,1842.2401466378,1822.1201133722,1996.8601608277,2604.3401718135,2687.4201889046,2484.8001899713,2912.9402160649,2944.2801971447,2812.9401969909,2853.8401794429,3603.3802528401,3047.9002304083,1965.1601486205
PC (32:3),0.4514197376499409,11.658530762576488,25.02524778683697,5.658449336303282e-7,5.0454506582037595e-6,728.5 -> 184.1,PC,33772.2424163786,30844.64251707,29570.9422454859,33310.442474369,32220.522399904,32280.5223388635,31206.4625701916,30115.0822219819,27946.6820907501,28295.7619476468,23701.5616798399,22679.0616531214,23635.061553949,22835.6614837666,20938.6213760254,23801.0014915422,25089.9812850872,24432.6217041004,1750.7001152051
SM (d18:1/26:1)17Z)),-0.45100309447795034,8.487514789947197,24.54707904696319,7.251618558629256e-7,6.207385486186643e-6,841.7 -> 184.1,PC,2563.1201515196,2247.5601844789,2295.9801673879,2678.6601829524,2471.7001609804,2125.6001892086,2338.8801498414,2612.5202026358,2475.9801597596,3845.3002357481,3330.8602600085,3015.7002334605,3746.5802497846,3233.5202445987,3252.4602317828,3244.7802009569,3241.8202438343,4323.8802986148,1631.9601097123
SM (d18:0/24:0),-0.44951531395708555,8.303495066346136,24.305134623971753,8.221960139804107e-7,6.7673056535310715e-6,817.7 -> 184.1,PC,2113.1601371756,2138.8801307682,1810.540126801,2566.8801803577,1871.2801361086,1831.4801254277,1546.5800971982,2514.6801605241,2220.4601516724,2899.3001708991,2591.740180969,2301.9601402273,3065.5002021789,3055.4402389531,2819.4002037058,3321.2002220132,3124.0802574165,3458.3002548238,2306.9801673888
PC (40:4),-0.4449458005446712,10.272602641552693,24.232006236746173,8.540121300840148e-7,6.7688368828881175e-6,838.6 -> 184.1,PC,8119.0005912787,8559.2406997671,7465.0405578601,9635.5807762206,9479.1406631476,8513.3806877151,9339.8606338482,8747.3006439226,8148.7605056757,12367.9208183273,12207.0208206117,10767.7408790604,12169.8008651675,12508.0007400536,11155.840835579,13847.1009941117,13404.840831753,12803.7008857794,1865.8201408388
SM (d18:1/20:0),-0.4430153200302419,13.743124522787124,24.143833051867375,8.94020013794119e-7,6.832867248283624e-6,759.6 -> 184.1,PC,105061.126678451,88959.585723875,88336.326507602,105869.766449049,100728.186614948,99164.826110712,97871.288177522,92971.66677853,93936.627410944,155783.470703065,131692.707977342,125635.928131229,132844.509063686,125066.429077051,125167.729614206,148652.308380301,152194.690216123,146818.810058523,11250.0007553173
PC (34:0),-0.43347070106788016,12.52415937055809,23.103228446505568,1.5353269297832716e-6,1.1329653895642073e-5,762.6 -> 184.1,PC,40906.4432906984,38843.683410636,37294.322570799,46412.543304451,43023.303207404,44984.123580932,43034.4830169614,40963.102066054,38481.762344348,61774.924636828,58888.103347786,53270.943206782,55380.023941029,53033.1846847657,53223.203308117,65830.243743896,66022.285018918,61918.8848876848,8230.9204902642
PC (32:4),0.4317610080579497,8.582640170869468,22.54150178415103,2.0565226515236902e-6,1.4669861580868991e-5,726.5 -> 184.1,PC,3943.480285646,3289.8802413929,3268.5202713029,3317.7602386483,4183.0202827439,3483.1402511591,3845.8402671818,3726.3402442931,3161.9602241497,2922.6402359,2708.720176697,2699.2002067564,2679.1802101121,2720.3201675411,3231.8802375783,2694.0802001947,2613.5601730351,2631.3201904293,1178.9600753785
C15:0,0.4169119303526328,12.685142736624107,21.379261094073968,3.768253123588758e-6,2.6013102207999815e-5,241.3 -> 241.3,FFA,56948.323883062,89376.787048338,100584.247161867,50702.663253779,50078.583587654,54909.643661484,40262.46295166,41818.402908329,47115.9832916343,41926.9431457495,45398.563186641,46867.383331295,40980.923057552,53367.943695067,61356.024658197,40706.742965695,39043.9026794436,45249.562881463,39058.582794191
C18:2,0.41334566685548757,12.01658608311149,21.00420003324926,4.582776364434736e-6,3.06473169371573e-5,279.3 -> 279.3,FFA,50664.8039931942,37683.2627372671,36511.0426673879,45918.3832473571,41741.8426666408,43692.1233520363,30672.1824340834,30217.6420974726,29178.0821304294,33589.2423553443,31542.5424041692,28360.8420639023,27961.7220077524,24820.4016227732,25893.1619110064,33036.5025444067,32755.7624664352,34139.3823852557,14117.1009483347
SM (d18:0/20:0),-0.409268141970354,14.613993789151557,20.621973139120314,5.595025734285118e-6,3.628289415566713e-5,761.6 -> 184.1,PC,194156.192870944,169511.231872663,161776.850402863,192799.272582964,193227.89123528,186684.511962825,178479.911132736,173410.832214369,169176.329986599,271759.080810568,236527.953430125,219236.432830836,234959.777099358,235759.194152608,225860.6762697,279570.002136371,279423.558471659,271015.198425394,19020.1812019292
PC (34:2),-0.40142951721848474,14.967260656327849,19.84327791931446,8.405780470631482e-6,5.2906971197504035e-5,758.6 -> 184.1,PC,239412.317749054,215467.836364699,214071.755371042,250534.754821655,244794.701049766,240871.158508387,229904.694396937,225497.297363276,218027.656249882,353315.18688965,309335.260986454,285708.183593587,305072.761108482,285598.820983874,291810.94201652,354753.144226079,347872.283874666,345295.48333737,18247.5612678524
PC (34:1),-0.39891436139358977,16.02568922710091,19.59832544645633,9.555291016920601e-6,5.8423779360600246e-5,760.6 -> 184.1,PC,505178.85852033,455688.10729994,416809.19287104,524119.95361329,508926.80078132,508810.85424823,480892.92846671,468481.45678727,459335.1340333,718439.53735358,625946.4675293,615681.92504881,640023.64477531,618382.27978512,592354.24707039,735265.83569345,717270.35009764,716286.33178706,46707.243446354
PCo(36:4),0.3831372890836871,9.142956332293057,17.86826182087733,2.367364860113619e-5,1.4072668890675402e-4,768.6 -> 184.1,PC,5310.4603385911,4368.0602989205,5105.1203918462,5666.9403381364,6603.9205284106,4906.6803970329,5008.9403343207,4818.2602996838,5304.3203773515,3932.9802398692,4922.4403915412,3930.5402488708,3944.1202888498,3869.6002922053,3882.2602615375,4034.540252686,4897.3604240419,4342.9603271492,1459.1601066597
PC (38:4),-0.38040780346032876,11.994937961609581,17.799400656119587,2.45460551446347e-5,1.419690757014007e-4,810.6 -> 184.1,PC,30035.021942143,29957.6620407168,27332.8219833494,32259.2228546191,30982.0819473155,29785.6820144721,28443.321884157,28180.541900618002,27980.861618026,42835.582931528,37375.3625945921,37815.6231613276,39067.1225166422,38373.122673036,35929.8421935986,45245.903610234,44092.783157355,40643.002410899,5126.9003601079
PC (38:3),-0.37789283801117235,12.051195695037716,17.566662286165382,2.7740925785980014e-5,1.5622521363683483e-4,812.6 -> 184.1,PC,31538.822090145,31483.402374268,27871.561698919,34871.342079159,33602.3224945149,29520.402366639,29483.3022613605,29217.1223297083,28551.501747119,44694.882781979,38447.882629416,38464.1222305403,40042.962997441,38446.2625427178,36414.2622985781,46582.663337705,47525.563644411,45734.32336424,4873.6803550732
PCo(34:3),0.37871384866444785,9.59605710860491,17.516575313131437,2.8481380746705374e-5,1.5628244819987052e-4,742.6 -> 184.1,PC,6899.5804061882,6221.860397338,6850.1204032915,8728.9606208769,7863.2805824288,7968.020507811,7269.4004821768,6676.3005752567,6179.5405349742005,6226.9004096988,5893.7804489114,6031.3003921499,5215.7003479002,4929.2203712451,5315.5803680418,6644.5004882822,6074.1404609683,5728.9403915426,1751.7801246654
SM (d18:2/18:1),0.3777380589237915,8.462003386115885,17.24105931321247,3.2924324561220705e-5,1.7614513640253077e-4,727.6 -> 184.1,PC,2948.8002090442,2956.8002052303,2835.8601875321,3802.3002395613,2747.2602272025,3250.6002502448,3749.5002861013,3208.8602256781,3441.5202674875,2722.6201934816,2547.340175629,2364.3801689151,2743.7602081314,2716.140159608,2147.6601600657,2733.060211181,2567.9001770027,2799.1601867664,1281.7000923161
PC (30:0),-0.37268471662078456,14.229992704411897,17.108387896885773,3.5306032012834146e-5,1.8428026465235384e-4,706.5 -> 184.1,PC,143696.472442567,132853.369567854,128342.929809662,150728.851440576,141539.049926784,142770.888794009,143980.230651975,139775.68859877,134235.049621407,202516.176147412,177138.152893127,173982.853210415,183272.532928368,173147.051818624,172534.871887195,211252.454589979,209267.174285891,204582.033386071,14715.5011749146
Lyso_PC(19:3),0.3719134024733966,7.6386285410834525,16.451791936333557,4.990298970091235e-5,2.5426761419036287e-4,532.3325 -> 184.1,PC,1209.6600799562,1325.7800941464,1573.8601150505,2459.9801864617,2941.3002357488,2310.7201461807,1286.0201072696,1329.7400970459,1401.620105744,1666.2801246648,1568.3401222232,1633.5401306159,1183.1000938409,1365.7200927737,1285.6400947567,1259.160095215,1430.2800979616,1367.1201095584,1310.0600967409
C20:4,-0.35391808986002743,11.687398492173093,15.405741149429474,8.67244072506175e-5,4.124227367029365e-4,303.3 -> 303.3,FFA,26752.221862793,22507.0216827378,21759.7416000338,24770.5017738335,24148.6617736786,23450.7616500857,21927.1816558804,22926.3615989694,21602.3416290304,36663.2025871341,30400.7021369906,32508.7023582444,28737.8420410157,28010.3618545531,26586.341865536,33174.8624114924,31702.4421958907,33167.1024970996,13304.8209495521
PC (40:3),-0.35592614930820743,9.218165398112195,15.435012299139565,8.539145521426522e-5,4.124227367029365e-4,840.6 -> 184.1,PC,4025.8402557372,3981.8202705373,3919.4202728256,4051.040279387,4359.8403129565,4436.1002616888,4799.3403816214995,4207.9403076152,4627.9203109738,5686.0804252624,6081.3603706367,5586.6203880303,5318.1603775018,5867.9604225151,5274.9603157044,5874.320323944,6453.7004241936,5291.2603492762,1521.8601112359
SM (d18:0/16:0),-0.35388351775043264,12.85824031678505,15.421274304910922,8.601447062241314e-5,4.124227367029365e-4,705.6 -> 184.1,PC,58609.043930054,50256.203155521,49011.483581548,59322.943634026,54477.903839109,53640.96427916,52265.3039474526,55415.144042973,53259.323959362,78029.54414368,71775.065803545,65900.864105237,70442.785659804,67761.865386966,63511.20382692,80776.726348876007,77402.085693354,75623.305732719,10604.1006813067
SM (d16:1/24:1),-0.35049368292221056,11.923033127542327,15.115400297754313,1.0113487773811437e-4,4.704970399120973e-4,785.6 -> 184.1,PC,29397.962055206,26295.0419311469,27418.0020141589,29287.1821289276,30446.161895747,28262.421768197,27710.981796264,30015.3018875122,25826.2819404607,43579.702957175,36861.042617791,32452.5822258032,34860.182678223,36396.8427353033,32466.0223693893,40964.583282458,41051.342536911,42133.463165264,5384.400352477
SM (d18:1/18:1)9Z)),0.3406459138619527,11.151288007818408,14.262617754512945,1.5899133183903868e-4,7.239179790117931e-4,729.6 -> 184.1,PC,23088.701354969,20105.6615867577,20577.921405799,22594.4414825563,21466.9016418287,22609.741561887,19624.5413665758,20408.8814697258,19635.8416175713,19987.9213752735,17443.9609489289,17252.4814605662,16387.6810874984,15224.1208801232,15425.0010223431,19257.7213020277,19569.9813423033,16768.9811744673,2693.7602157585
PCo(40:6),0.3373621895981366,8.748237498309527,13.80923867205323,2.0233882189738255e-4,9.020939142924972e-4,820.6 -> 184.1,PC,4177.9202957159,4048.9403419498,3366.9802131668,4492.3003807071,3728.0803031896,3528.660232544,3622.9002037034,4282.7002906801,3723.9002532949,3452.3002433771,2951.6201934819,3006.3201980599,3326.0202026348,2621.4601669307,3030.0002174405,3728.4802970875,3262.1402130125,3650.9002494813,1488.8201065067
C17:1,0.3266209703406705,11.402767440391232,13.119558677389849,2.9222886486918376e-4,0.0012762648384082719,267.3 -> 267.3,FFA,31132.5822715773,25960.2418785096,25668.0618476865,24578.6817131044,24912.8215980544,24946.2416992241,18911.1813736006,18615.9413719196,21245.6415023803,20136.2014350888,19828.3614616383,19075.7413902309,19011.2212829604,18432.121318816,19057.6813354481,21081.5014228796,21356.5815048214,22042.6015510549,13673.1409568842
PC (36:8),-0.32178283807417063,9.737818583551556,12.665288714812704,3.725070027285622e-4,0.0015943299716782463,774.5 -> 184.1,PC,6448.8003730755,6173.9604606629,5398.2603492727,7230.5204734799,6413.2205505367,5946.5804367053,6559.8204536441,5936.5403747555,5468.2203674318,9153.0606002747,6758.7404212961,7359.4604835511,7861.600681304,6820.4004745484,7479.1404571615,10003.9807014396,9251.0607185363,8237.6405639635,2613.340179443
Lyso_PC(18:1),-0.30640578342271596,10.52894495859763,11.52525696447691,6.865696001441327e-4,0.0028808998908008707,522.3481 -> 184.1,PC,12711.0008964583,11486.080886842,10367.7607803385,11688.6208648597,10781.5609016391,11361.3608360232,9302.2005691464,10068.1407203756,9635.6805496225,15902.2611885246,14306.700885765,14259.4809493892,13898.7809257463,13883.2211265492,11229.3608894285,15539.0610313412,13802.0009422286,13190.0810241603,3729.0402374264
PC (34:4),0.29532991120978647,9.663410362849007,10.669346606324169,0.0010892558738011151,0.004482706865258435,754.5 -> 184.1,PC,7893.7206192028,7458.5204391476,6530.640487671,8063.4206543002,7554.7004890405,7530.7604446401,7162.32057953,6759.620407104,7415.9605522164,8035.9404449451,5838.5604286203,5675.7204628003,5400.260406493,5367.4003982552,5344.880340576,7974.0006065363,6509.4604034422,6735.1605110167,1440.2400932316
